HOLE:	U1353C
EXPEDITION:	317
TOP:	106.1440
BOTTOM:	208.8616
DEPTH_WMSF	TENS	CS	ETIM	DF
m	lbf	m/h	s	lbf
128.3944	6585.0000	298.0944	5770.4780	6084.0273
128.5468	6315.0000	299.6184	5768.6211	5931.8730
128.6992	6150.0000	303.2760	5766.7979	5702.5757
128.8516	6076.0000	302.0568	5764.9922	5705.7754
129.0040	6033.0000	302.9712	5763.1841	5558.2427
129.1564	5840.0000	287.4264	5761.3608	5457.2808
129.3088	5612.1670	236.0985	5759.5054	5215.0010
129.4612	5399.0938	227.8365	5757.2729	5043.5620
129.6136	5547.5312	224.7244	5754.8901	5055.1309
129.7660	4896.8652	234.9004	5752.4873	4591.4751
129.9184	4864.3325	235.8862	5750.1958	4501.3662
130.0708	5175.2139	230.1662	5747.8774	4840.7598
130.2232	5525.3779	223.2753	5745.5273	5165.7642
130.3756	5230.2412	230.6941	5743.1123	4870.8208
130.5280	5044.9082	231.6219	5740.7407	4711.1626
130.6804	5068.0054	229.9931	5738.3843	4799.6538
130.8328	5358.5210	226.8172	5736.0464	5075.4209
130.9852	5551.4546	223.2263	5733.6509	5249.6924
131.1376	5258.2749	228.1509	5731.2339	4934.8130
131.2900	5039.7866	232.3391	5728.8291	4766.9854
131.4424	4863.8647	234.6959	5726.4985	4666.1450
131.5948	5178.0659	230.3502	5724.1787	4910.3799
131.7472	5341.2554	293.1267	5721.8311	5005.3052
131.8996	4800.0112	311.9764	5719.9497	4475.3047
132.0520	4169.5420	322.0736	5718.2144	3918.1873
132.2044	3802.5955	328.9377	5716.5181	3545.5623
132.3568	4019.7932	325.4655	5714.8818	3764.5959
132.5092	4381.4990	321.1747	5713.2178	4097.6968
132.6616	4510.5488	318.6784	5711.5190	4229.6445
132.8140	4721.7373	277.9990	5709.8120	4368.6626
132.9664	6581.5449	409.4074	5701.2715	6181.8643
133.1188	6656.3936	462.4088	5697.8218	6185.3945
133.2712	6366.7251	467.3893	5696.6411	5898.1270
133.4236	6202.4658	469.0669	5695.4648	5730.0903
133.5760	5813.7036	476.0113	5694.2998	5358.8315
133.7284	4780.4282	339.6122	2478.3486	4391.2563
133.8808	4060.5117	289.2299	1191.4438	3721.2410
134.0332	3526.8738	292.0246	1189.5679	3187.2566
134.1856	3034.5981	298.3654	1187.7124	2710.0027
134.3380	2563.4431	308.3563	1185.8906	2257.3845
134.4904	2200.3022	313.8427	1184.1185	1893.3612
