HOLE:	U1353C
EXPEDITION:	317
TOP:	106.1444
BOTTOM:	208.8620
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
117.7268	0.088967	-0.176167	-0.481658	0.519920	-67.2694	297.8430	88.9370	151.0958	-0.0561	-0.1353	9.9270	0.6903
117.8792	0.091083	-0.174775	-0.482039	0.520341	-67.2912	296.8462	88.2770	151.4321	-0.0555	-0.1003	9.7201	0.7204
118.0316	0.094161	-0.173600	-0.482154	0.520739	-67.3156	295.7802	87.5191	151.7403	-0.0553	-0.1055	10.0317	0.7430
118.1840	0.095625	-0.172473	-0.482758	0.521109	-67.3397	295.0290	86.8020	151.7753	-0.0519	-0.1320	9.8574	0.7636
118.3364	0.098221	-0.170203	-0.483228	0.521462	-67.3601	294.1525	85.9799	151.8300	-0.0413	-0.0954	9.5526	0.7814
118.4888	0.107689	-0.163757	-0.483791	0.521797	-67.3721	291.6669	83.7862	152.1210	-0.0301	-0.1325	9.4207	0.8009
118.6412	0.123084	-0.152601	-0.484343	0.522116	-67.3838	286.6685	78.7532	152.0854	-0.0541	-0.1383	9.9158	0.8183
118.7936	0.132167	-0.144706	-0.484909	0.522430	-67.3997	283.0193	74.8200	151.8016	-0.0422	-0.1842	9.8882	0.8307
118.9460	0.139954	-0.137569	-0.485046	0.522714	-67.4201	280.0257	71.6077	151.5834	-0.0065	-0.1388	9.7264	0.8283
119.0984	0.148155	-0.128918	-0.485463	0.522994	-67.4283	276.7884	68.1945	151.4070	-0.0323	-0.1815	9.8482	0.8427
119.2508	0.154623	-0.120878	-0.485449	0.523247	-67.4378	273.8645	65.1284	151.2648	-0.0023	-0.1554	9.8381	0.8525
119.4032	0.161752	-0.111171	-0.485655	0.523496	-67.4494	270.6528	61.7679	151.1156	0.0131	-0.1494	9.5353	0.8586
119.5556	0.169821	-0.098833	-0.486008	0.523740	-67.4596	266.8086	57.7884	150.9800	-0.0072	-0.1294	9.9027	0.8673
119.7080	0.173661	-0.090851	-0.486077	0.523972	-67.4734	263.9337	54.6154	150.6809	0.0297	-0.1599	9.9080	0.8685
119.8604	0.175769	-0.087505	-0.486323	0.524192	-67.4831	262.2468	52.6242	150.3762	-0.1234	-0.1732	9.3959	0.8676
120.0128	0.180445	-0.077567	-0.486447	0.524403	-67.4881	260.2813	50.3644	150.0818	-0.0264	-0.1680	9.7795	0.8669
120.1652	0.184766	-0.067148	-0.486552	0.524609	-67.4957	257.5378	47.1146	149.5751	-0.0052	-0.1175	9.8987	0.8616
120.3176	0.188569	-0.055882	-0.486555	0.524808	-67.5013	254.6374	43.7441	149.1055	-0.0209	-0.1285	9.8424	0.8586
120.4700	0.191774	-0.044458	-0.486714	0.525001	-67.5000	251.0085	40.2185	149.2079	0.0546	-0.1417	9.9086	0.8582
120.6224	0.193857	-0.034152	-0.486946	0.525193	-67.5055	248.0521	37.1735	149.1189	0.0615	-0.1331	10.0825	0.8493
120.7748	0.194906	-0.028062	-0.487148	0.525386	-67.5147	246.1346	34.5798	148.4430	0.0748	-0.1252	9.9673	0.8449
120.9272	0.195672	-0.023364	-0.487122	0.525594	-67.5169	245.1623	33.4285	148.2641	0.0781	-0.1150	9.8617	0.8420
121.0796	0.196635	-0.017800	-0.487188	0.525782	-67.5160	243.3674	31.4743	148.1045	0.0661	-0.1448	9.5947	0.8405
121.2320	0.197412	-0.007710	-0.487196	0.525981	-67.5192	241.5656	29.1421	147.5735	0.0495	-0.1028	9.6945	0.8375
121.3844	0.197796	0.000743	-0.487787	0.526178	-67.5225	239.4264	26.5411	147.1127	0.0489	-0.1157	9.9588	0.8302
121.5368	0.197815	0.008833	-0.488052	0.526362	-67.5223	237.4290	24.4226	146.9907	0.0781	-0.1341	9.8627	0.8218
121.6892	0.195424	0.028369	-0.488369	0.526552	-67.5198	232.6109	19.3575	146.7431	0.0988	-0.1062	10.2161	0.8213
121.8416	0.194633	0.034599	-0.488416	0.526741	-67.5138	230.0340	16.7973	146.7600	0.1419	-0.1014	9.2330	0.8215
121.9940	0.193591	0.041081	-0.488716	0.526940	-67.5109	227.3925	14.0411	146.6451	0.0961	-0.0986	10.1079	0.8163
122.1464	0.192990	0.043734	-0.489009	0.527119	-67.5058	227.1570	13.6237	146.4645	0.1010	-0.1041	9.7357	0.8140
122.2988	0.191511	0.051126	-0.488913	0.527306	-67.5022	225.0011	11.3608	146.3573	0.1034	-0.0982	10.0153	0.8106
122.4512	0.189983	0.056054	-0.489032	0.527499	-67.4987	223.8522	10.4050	146.5497	0.0909	-0.0894	8.6366	0.8139
122.6036	0.184819	0.072412	-0.489033	0.527702	-67.4914	218.5516	5.4481	146.8932	0.1084	-0.0835	9.8386	0.8228
122.7560	0.183915	0.074782	-0.489195	0.527870	-67.4870	216.6225	3.9623	147.3374	0.1104	-0.0806	9.4703	0.8262
122.9084	0.180178	0.083802	-0.489233	0.528040	-67.4811	214.0865	1.9785	147.8883	0.1105	-0.0770	10.0421	0.8298
123.0608	0.177499	0.089738	-0.489102	0.528201	-67.4760	211.6451	359.8342	148.1859	0.1164	-0.0724	9.8689	0.8371
123.2132	0.174820	0.095373	-0.489548	0.528368	-67.4741	209.4158	357.8473	148.4288	0.1133	-0.0679	9.7652	0.8363
123.3656	0.168567	0.106501	-0.489726	0.528517	-67.4606	206.0204	355.1901	149.1677	0.1182	-0.0594	10.1572	0.8447
123.5180	0.163510	0.113612	-0.489895	0.528667	-67.4524	202.2887	351.8926	149.6012	0.1284	-0.0603	9.8350	0.8487
123.6704	0.155944	0.122502	-0.490505	0.528820	-67.4428	198.7645	348.9778	150.2114	0.1495	-0.0496	9.9590	0.8530
123.8228	0.153309	0.125799	-0.490624	0.528969	-67.4315	195.9276	346.6830	150.7540	0.1531	-0.0430	9.5340	0.8572
123.9752	0.144843	0.135592	-0.490361	0.529113	-67.4192	193.1027	344.4569	151.3524	0.1485	-0.0317	10.2699	0.8611
124.1276	0.141288	0.139270	-0.490966	0.529261	-67.4068	189.5811	341.4533	151.8708	0.1503	-0.0194	9.8504	0.8662
124.2800	0.131409	0.148455	-0.490895	0.529412	-67.3949	187.1236	339.5894	152.4646	0.1498	-0.0080	9.9367	0.8687
124.4324	0.118412	0.159573	-0.491194	0.529550	-67.3819	180.8741	333.9305	153.0565	0.1538	0.0082	10.1383	0.8743
124.5848	0.116919	0.160960	-0.491056	0.529682	-67.3700	178.2518	331.8941	153.6426	0.1584	0.0108	9.4895	0.8765
124.7372	0.103988	0.169625	-0.491122	0.529814	-67.3550	174.9728	329.2264	154.2536	0.1512	0.0228	10.3921	0.8831
124.8896	0.102082	0.170825	-0.491107	0.529938	-67.3409	171.7806	326.7095	154.9299	0.1509	0.0254	9.8405	0.8845
125.0420	0.088958	0.178499	-0.491188	0.530052	-67.3244	169.0013	324.4239	155.4232	0.1452	0.0403	10.2541	0.8840
