HOLE:	U1513E
EXPEDITION:	369
TOP:	425.0808
BOTTOM:	584.2371
DEPTH_WMSF	HALC	HSIG	HSTO	HNEC	HFEC
m	%	cu	in	1/s	1/s
442.2512	63.99178	29.20861	0.5106437	2474.643	429.3776
442.3020	68.5364	30.61762	0.1683103	2448.021	422.6718
442.3528	70.73328	30.79743	0.1602531	2404.018	429.3306
442.4036	73.08484	32.12744	0.05205078	2488.922	425.0209
442.4544	74.21166	31.72394	-0.02283064	2569.297	451.9885
442.5052	75.50967	32.41216	-0.12289	2460.039	417.3371
442.5560	73.98526	33.48914	-0.000595276	2515.792	422.6468
442.6068	72.80556	35.39409	0.08974034	2493.191	442.6056
442.6576	67.23238	34.30683	0.5285718	2394.297	400.1274
442.7084	66.83315	35.68294	0.5779736	2429.24	445.2141
442.7592	66.17554	34.22704	0.6220551	2422.734	417.3469
442.8100	68.36231	33.88599	0.471541	2449.283	422.6566
442.8608	66.91393	32.39441	0.5566599	2514.567	416.0102
442.9116	72.45512	33.13134	0.124125	2509.339	385.3688
442.9624	74.43626	32.20159	-0.03387276	2589.27	385.3333
443.0132	74.50694	33.40693	-0.05879642	2362.095	413.3217
443.0640	72.75177	32.9303	0.09950185	2505.326	413.3333
443.1148	70.17818	34.08128	0.3064854	2479.999	430.6616
443.1656	68.27392	34.17402	0.4489433	2476.016	414.7322
443.2164	68.14928	35.521	0.4634241	2510.646	410.0247
443.2672	69.23163	34.70061	0.3761174	2490.689	433.3125
443.3180	67.45071	35.26056	0.5016029	2506.619	418.7106
443.3688	67.72681	33.30379	0.4957806	2514.845	445.273
443.4196	67.89239	32.83515	0.4892013	2597.146	417.3967
443.4704	70.79531	31.04568	0.2645981	2485.547	435.9644
443.5212	70.3132	31.94967	0.3098698	2536.919	409.329
443.5720	72.65665	30.66418	0.1078798	2512.029	408.0016
443.6228	74.06981	30.2652	-0.02916843	2609.256	422.655
443.6736	74.71156	29.06266	-0.08222441	2478.723	393.3459
443.7244	74.84582	29.52687	-0.09696637	2526.664	410.999
443.7752	74.06811	30.09327	-0.03358489	2533.303	384.1209
443.8260	71.48081	31.49822	0.1875453	2530.599	451.9819
443.8768	69.85889	30.82362	-0.03980301	2430.782	425.3834
443.9276	67.40211	30.87297	0.2078836	2540.96	473.1713
443.9784	64.80276	29.6814	0.6842095	2454.698	422.7117
444.0292	62.14566	29.94271	0.833837	2471.954	447.9331
444.0800	61.20777	30.68919	0.8951491	2575.762	474.6057
444.1308	63.56847	30.86073	0.7621122	2592.602	384.0844
444.1816	66.88396	31.03098	0.561435	2454.88	413.2882
444.2324	68.60403	31.11585	0.4425713	2510.601	429.3145
444.2832	72.5416	32.73928	0.1229682	2565.289	406.685
444.3340	73.01962	33.34344	0.08182573	2594.654	412.9972
444.3848	70.72093	31.81952	0.2707719	2544.246	434.5615
444.4356	70.46401	31.45473	0.2821573	2621.329	394.679
444.4864	74.53708	30.33528	-0.05124984	2606.576	435.9602
444.5372	71.77351	30.76906	0.1808108	2471.177	376.2252
444.5880	71.94302	30.55299	0.1663338	2446.844	402.6927
444.6388	69.57957	28.50862	0.3579144	2572.951	421.277
444.6896	67.46371	28.12355	0.5148322	2510.331	410.6951
444.7404	64.91177	29.44267	0.6832542	2467.823	431.9633
444.7912	63.6982	29.14727	0.7541721	2397.469	417.3615
444.8420	61.27625	29.72119	0.8785499	2451.915	368.0769
444.8928	59.92463	29.38137	0.9360155	2474.64	420.8884
444.9436	58.79879	29.39451	0.9808089	2400.061	408.0106
444.9944	60.49942	29.79819	0.915305	2499.955	425.3255
445.0452	63.70487	30.35137	0.7471753	2438.672	431.9995
445.0960	65.5809	30.61776	0.6306563	2405.365	427.9937
445.1468	68.23756	30.93548	0.450552	2515.543	406.0909
445.1976	69.54894	31.50451	0.3551308	2529.919	420.0055
445.2484	73.20824	32.27066	0.0527647	2450.809	425.2927
445.2992	71.06528	31.40989	0.2266272	2553.022	396.0889
445.3500	69.02567	30.18079	0.3950788	2576.025	408.0255
445.4008	69.00161	29.70413	0.4075257	2587.972	419.9724
445.4516	68.07047	29.38555	0.4756966	2418.995	453.2687
445.5024	68.25247	30.30491	0.4689445	2474.787	408.0859
445.5532	69.69267	30.13757	0.3537912	2511.955	434.6348
445.6040	67.53405	31.13318	0.523917	2485.355	457.9806
445.6548	72.44707	32.09921	0.1333761	2545.972	445.3392
445.7056	70.96786	32.51031	0.2732999	2449.342	434.6677
445.7564	69.62803	32.48831	0.3705932	2438.715	459.8857
445.8072	64.8511	30.87021	0.7029655	2469.329	385.3312
445.8580	62.90156	30.36125	0.8135538	2461.994	382.0464
445.9088	63.03379	31.08364	0.8067654	2456.021	427.8432
445.9596	67.63075	30.00858	0.5187007	2401.41	431.9861
446.0104	64.10161	28.39732	0.7415524	2445.216	424.0214
446.0612	67.14372	29.613	0.5406891	2594.321	400.0557
446.1120	70.54787	29.96982	0.2927509	2479.697	437.322
446.1628	68.09025	27.94195	0.4777124	2373.501	433.3396
446.2136	67.99003	27.75241	0.4959678	2527.813	404.0356
446.2644	69.93781	28.73502	0.3393426	2496.027	414.6577
446.3152	68.25099	29.65767	0.4545836	2456.019	402.006
446.3660	69.32596	31.92022	0.3796061	2546.223	429.1997
446.4168	70.43059	33.17955	0.3029226	2424.016	426.6642
446.4676	69.41428	32.79811	0.3808541	2485.329	417.3401
446.5184	67.86021	34.93945	0.49553	2478.692	427.9596
446.5692	65.98879	35.08362	0.6328068	2518.546	410.723
446.6200	65.7142	34.29383	0.6486143	2430.271	451.8738
446.6708	63.09743	31.97637	0.7803575	2477.206	426.735
446.7216	62.98672	31.29963	0.7500227	2420.108	413.307
446.7724	59.52555	28.43958	0.9501982	2463.914	402.6875
446.8232	63.50103	30.53831	0.7581733	2425.395	415.9788
446.8740	63.79079	31.11898	0.7435296	2434.021	385.3476
446.9248	70.35201	30.60846	0.2940129	2439.995	389.33
446.9756	70.02312	31.24216	0.3221141	2595.924	407.9909
447.0264	71.18396	32.81562	0.2188545	2492.012	402.6673
447.0772	70.81302	33.84571	0.2470486	2561.957	399.995
447.1280	75.75208	35.35823	-0.1729641	2392.708	380.0833
447.1788	73.32955	32.35698	0.05008715	2422.155	437.9347
447.2296	74.90177	31.50923	-0.09072105	2577.754	372.0811
447.2804	77.84931	33.20926	-0.358427	2396.558	431.8161
447.3312	82.53645	32.75441	-0.7005109	2516.025	439.8957
447.3820	76.97082	34.0529	-0.6716549	2527.972	390.1165
447.4328	70.69873	32.36314	0.2697574	2533.988	441.8974
447.4836	71.4469	29.8837	0.1905077	2555.273	364.3125
