HOLE:	U1513E
EXPEDITION:	369
TOP:	117.8197
BOTTOM:	580.0488
DEPTH_WMSF	HALC	HSIG	HSTO	HNEC	HFEC
m	%	cu	in	1/s	1/s
128.0813	69.70298	24.22715	0.3478621	2461.637	447.2153
128.1321	68.61594	24.07931	0.4324029	2424.873	422.5957
128.1829	66.12609	24.94229	0.5962704	2460.624	451.7829
128.2337	66.36882	24.5322	0.6010919	2421.34	422.0351
128.2845	67.48615	25.38139	0.5196114	2507.299	438.7072
128.3353	68.99892	26.04611	0.3971431	2450.095	397.5886
128.3861	69.32935	25.66253	0.39075	2433.449	416.0839
128.4369	69.69623	25.5975	0.3639073	2409.001	435.8253
128.4877	66.25436	25.3419	0.6086577	2436.121	458.0498
128.5385	64.30006	24.00745	0.7268707	2427.078	450.3087
128.5893	62.8886	24.07048	0.8092959	2471.716	473.5223
128.6401	64.44983	24.83599	0.7237685	2389.949	429.6313
128.6909	65.61427	26.26685	0.6400246	2377.046	449.1558
128.7417	67.32803	28.60379	0.5459524	2461.255	390.4095
128.7925	69.53006	28.7226	0.3784876	2459.288	438.338
128.8433	71.37454	28.82268	0.2219107	2481.872	458.3323
128.8941	69.35384	27.15572	0.3662435	2430.448	431.3287
128.9449	67.66785	26.0647	0.5037869	2547.775	451.555
128.9957	66.77547	24.83374	0.5712696	2467.489	449.2037
129.0465	68.50647	25.00259	0.3141794	2436.25	452.5509
129.0973	67.82283	23.60845	0.4351143	2456.213	438.5244
129.1481	68.52767	24.19891	0.3455165	2521.541	451.3852
129.1989	68.48772	25.26512	0.4148062	2583.554	451.1359
129.2497	67.72398	26.01399	0.489638	2483.031	472.4604
129.3005	66.93159	26.59048	0.5432152	2462.451	418.9229
129.3513	67.54417	26.9205	0.5012381	2424.086	442.7439
129.4021	67.49408	25.88358	0.5130904	2468.202	434.1512
129.4529	66.14221	25.29363	0.6044911	2442.912	459.864
129.5037	68.7328	25.32276	0.427369	2430.481	474.4108
129.5545	70.07776	24.44068	0.3229673	2510.483	461.9885
129.6053	66.70834	24.47757	0.564446	2366.591	433.2253
129.6561	66.32781	24.67276	0.5983078	2418.483	421.1868
129.7069	67.66483	24.7624	0.4920268	2477.532	456.4433
129.7577	64.94551	24.11729	0.6734357	2427.746	463.6773
129.8085	66.70701	25.09707	0.5652851	2464.15	442.8079
129.8593	67.84389	25.7334	0.4946278	2482.375	478.8932
129.9101	69.48901	27.19539	0.3740684	2487.537	420.33
129.9609	71.46537	28.09085	0.2142194	2495.077	386.0495
130.0117	71.63269	27.75296	0.1972386	2518.529	440.7689
130.0625	71.30469	28.91762	0.2350831	2512.984	425.3388
130.1133	70.64836	29.45833	0.2917127	2472.791	395.3392
130.1641	70.18968	28.35654	0.3156903	2522.909	434.9726
130.2149	67.07812	28.35787	0.5418321	2524.554	441.1949
130.2657	69.48506	27.52986	0.3664964	2374.583	409.6569
130.3165	72.59203	27.19005	0.1161125	2528.186	444.0344
130.3673	74.18295	27.83612	-0.02288036	2479.214	414.306
130.4181	74.31332	26.77119	-0.3153156	2479.219	444.3569
130.4689	79.92172	26.31617	-0.7752387	2460.043	495.1717
130.5197	78.93635	26.63639	-0.4612029	2438.025	447.3381
130.5705	74.38527	26.41972	-0.0583507	2432.367	432.9167
130.6213	72.67204	27.84884	0.09311984	2444.783	414.9556
130.6721	69.14064	28.11755	0.3770564	2460.013	426.7369
130.7229	69.1078	29.21956	0.3798464	2458.286	414.591
130.7737	67.9734	30.12518	0.4656958	2476.993	426.8125
130.8245	69.20126	30.05334	0.3795274	2433.903	461.1125
130.8753	67.16866	30.33415	0.5360548	2575.385	454.1849
130.9261	66.05895	30.83111	0.6017775	2494.269	429.9006
130.9769	61.832	28.9753	0.8376256	2419.399	462.5598
131.0277	61.21576	28.12582	0.8677121	2395.479	477.0636
131.0785	55.00995	27.3286	0.8432742	2429.547	453.6786
131.1293	50.56894	27.29933	0.5444607	2404.042	504.1891
131.1801	47.62257	26.73273	0.5055398	2499.549	448.3526
131.2309	45.84209	23.29372	0.3640025	2438.588	488.9695
131.2817	43.99686	22.55762	0.2892499	2550.255	465.749
131.3325	45.02457	22.95233	0.1515934	2563.627	499.6404
131.3833	48.5088	22.72107	-0.08952824	2450.863	461.145
131.4341	51.03978	22.4847	-0.1994115	2501.865	520.3055
131.4849	50.68842	22.78965	0.006674844	2589.019	457.9326
131.5357	49.54183	22.40851	0.1598365	2516.202	469.8125
131.5865	51.64453	24.45124	0.488635	2470.228	462.4388
131.6373	53.02803	22.40914	0.8711677	2502.19	494.291
131.6881	54.31637	20.90937	1.00663	2435.262	503.6375
131.7389	59.35062	20.65678	0.9444696	2384.236	452.4149
131.7897	62.34658	21.40377	0.820814	2450.807	449.3629
131.8405	62.34164	21.23707	0.8120707	2450.798	480.7141
131.8913	58.25148	21.42145	0.9930099	2450.026	439.0666
131.9421	55.87745	21.24444	1.053414	2366.425	418.832
131.9929	57.77728	21.84895	1.00875	2495.388	499.1791
132.0437	60.79801	23.0097	0.8949525	2476.789	467.8288
132.0945	64.63326	25.25534	0.6960045	2361.192	411.8429
132.1453	64.69158	24.82425	0.6816779	2445.509	430.0988
132.1961	62.95901	25.20566	0.7900766	2486.735	488.1232
132.2469	60.90558	23.78162	0.8927928	2468.535	456.909
132.2977	58.45841	23.40209	0.9961028	2374.067	470.3508
132.3485	53.06203	23.51663	1.110238	2390.274	438.688
132.3993	57.36604	23.14766	1.020555	2458.565	513.0803
132.4501	58.46772	23.16171	0.9861955	2388.157	466.9891
132.5009	62.3432	23.75698	0.8284447	2340.71	418.7306
132.5517	66.77321	24.57001	0.5592811	2504.725	439.5712
132.6025	67.99448	25.58898	0.4698017	2469.708	475.651
132.6533	68.4435	26.88885	0.2955507	2414.511	466.7528
132.7041	72.40614	27.77757	0.1163794	2451.483	483.7642
132.7549	71.60284	29.03784	0.1986473	2442.037	434.1861
132.8057	72.02636	28.45238	0.1596293	2366.615	467.7251
132.8565	73.86617	29.76014	0.01297928	2435.792	430.1126
132.9073	76.01658	30.17368	-0.2006046	2530.055	443.9956
132.9581	77.60357	30.96158	-0.3371478	2554.613	442.0044
133.0089	76.08553	30.22057	-0.1809937	2516.364	454.0338
133.0597	72.60314	30.8329	0.1170773	2636.344	465.1271
133.1105	69.67508	31.16128	0.3507552	2435.648	439.8184
133.1613	66.4304	29.88314	0.5896904	2549.254	419.2113
133.2121	59.46626	28.2266	0.9492534	2465.795	479.2751
133.2629	58.80828	26.45765	0.9732132	2444.259	402.2584
133.3137	61.36525	26.74351	0.8612398	2461.133	420
