HOLE:	U1513E
EXPEDITION:	369
TOP:	497.7244
BOTTOM:	582.3572
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
503.0330	1.939281	16.13306	-0.006022246	1.969488
503.0584	1.961028	12.03628	-0.001080728	1.978287
503.0838	1.995816	9.368901	0.01734809	1.984917
503.1092	1.98688	7.981832	0.01574043	1.983762
503.1346	1.946885	7.764786	-0.0007139909	1.973519
503.1600	1.921365	7.532608	-0.004114348	1.955259
503.1854	1.919006	9.590973	-0.003700143	1.922326
503.2108	1.920659	10.43292	-0.003002082	1.906933
503.2362	1.92183	11.37917	-0.00234178	1.920738
503.2616	1.947887	10.74805	0.002859472	1.942226
503.2870	2.008844	11.53155	0.01313171	1.969322
503.3124	2.078126	12.20641	0.02576635	2.002228
503.3378	2.121874	11.47215	0.03574467	2.028254
503.3632	2.110784	10.27885	0.03198454	2.047191
503.3886	2.100814	9.270897	0.02946556	2.083278
503.4140	2.055062	8.606925	0.02485647	2.060775
503.4394	1.990213	8.732123	0.01616011	2.030866
503.4648	1.933434	8.851207	0.008904754	2.005006
503.4902	1.902498	9.645646	0.006690051	1.982977
503.5156	1.914811	9.047732	0.01807012	1.967911
503.5410	1.927981	8.492171	0.03033807	1.961479
503.5664	1.948125	8.298741	0.04547706	1.934472
503.5918	1.949594	8.282388	0.05785366	1.938169
503.6172	1.946162	8.268632	0.06504108	1.944079
503.6426	1.936883	7.828678	0.06721186	1.948753
503.6680	1.945597	7.961646	0.07400862	1.950091
503.6934	1.954308	8.10757	0.08071361	1.950796
503.7188	1.960693	8.0893	0.08842044	1.951967
503.7442	1.957385	8.792749	0.08633631	1.95539
503.7696	1.954603	9.556886	0.08475537	1.958584
503.7950	1.954354	9.252376	0.0843482	1.961757
503.8204	1.960664	8.543209	0.08529171	1.96035
503.8458	1.968108	7.908722	0.0873817	1.956003
503.8712	1.976535	8.873194	0.08825186	1.951827
503.8966	1.950962	11.58754	0.07988794	1.950521
503.9220	1.926819	15.88836	0.07263217	1.95088
503.9474	1.925375	20.35617	0.07167267	1.950276
503.9728	1.945245	19.69704	0.07852837	1.945547
503.9982	1.962978	19.03184	0.08304787	1.94173
504.0236	1.963886	19.20711	0.08382879	1.939849
504.0490	1.943427	18.41585	0.07698602	1.941139
504.0744	1.924126	17.67263	0.07185414	1.9425
504.0998	1.913871	15.98258	0.06636096	1.94213
504.1252	1.934429	13.06885	0.06963052	1.942025
504.1506	1.954716	10.89456	0.07208956	1.945322
504.1760	1.960498	11.13914	0.06914232	1.950275
504.2014	1.963155	12.45909	0.06881057	1.957582
504.2268	1.966669	14.06154	0.06936814	1.962858
504.2522	1.958422	12.81817	0.06540265	1.967617
504.2776	1.964998	15.04032	0.06391941	1.971383
504.3030	1.97167	18.09244	0.06273901	1.974789
504.3284	1.988065	20.03457	0.06255536	1.977237
504.3538	1.986539	15.80703	0.05740028	1.980362
504.3792	1.987212	13.08569	0.05471742	1.981269
504.4046	1.983798	12.09978	0.05179834	1.980335
504.4300	1.980031	12.99235	0.05564313	1.976846
504.4554	1.971475	14.0428	0.05496965	1.973054
504.4808	1.965136	13.93984	0.05577609	1.969743
504.5062	1.963899	15.02318	0.05889357	1.968632
504.5316	1.959778	16.2108	0.05964176	1.969544
504.5570	1.964056	17.71011	0.05947463	1.970829
504.5824	1.976033	16.50352	0.06244255	1.971464
504.6078	1.986466	15.34264	0.0637031	1.971036
504.6332	1.980451	14.40073	0.05948627	1.971205
504.6586	1.969551	15.36412	0.05743241	1.972427
504.6840	1.960973	16.41492	0.0575201	1.972804
504.7094	1.96096	16.4128	0.05784565	1.9709
504.7348	1.972629	16.7086	0.06291976	1.967699
504.7602	1.978656	17.00612	0.06229293	1.964164
504.7856	1.973122	15.66155	0.05651346	1.962622
504.8110	1.958028	15.8547	0.04744214	1.960362
504.8364	1.944669	16.05448	0.04002305	1.955853
504.8618	1.950338	17.40227	0.03832761	1.949849
504.8872	1.945141	15.66997	0.03832171	1.945166
504.9126	1.940819	14.25404	0.0391084	1.942743
504.9380	1.937046	15.671	0.03910386	1.94177
504.9634	1.94035	16.93156	0.03944951	1.940899
504.9888	1.940891	18.389	0.03700009	1.941124
505.0142	1.937836	16.97853	0.03857064	1.941786
505.0396	1.94432	17.9503	0.04378059	1.943917
505.0650	1.94671	15.78297	0.04501149	1.946485
505.0904	1.945445	14.98119	0.04443594	1.949943
505.1158	1.951879	13.43064	0.05056681	1.955725
505.1412	1.958447	15.1008	0.05692793	1.967464
505.1666	1.965101	13.80983	0.06119617	1.985903
505.1920	1.977839	10.73154	0.05995372	2.017326
505.2174	2.026947	8.338974	0.06372797	2.055269
505.2428	2.075813	8.499516	0.06781706	2.109153
505.2682	2.165457	9.643699	0.07955402	2.166708
505.2936	2.216917	10.40003	0.08520372	2.226749
505.3190	2.335672	10.87281	0.112495	2.265964
