HOLE:	U1513E
EXPEDITION:	369
TOP:	461.2476
BOTTOM:	591.0416
DEPTH_WMSF	HALC	HSIG	HSTO	HNEC	HFEC
m	%	cu	in	1/s	1/s
468.1564	81.78781	37.07442	-0.634755	2398.99	391.9899
468.2072	80.08341	36.18844	-0.5249159	2444.62	396.2249
468.2580	78.06109	36.37365	-0.3561707	2373.77	381.9261
468.3088	77.87227	37.29547	-0.339621	2340.71	389.6657
468.3596	80.02819	37.60028	-0.5189236	2441.366	417.2108
468.4104	79.19608	37.25575	-0.4482495	2451.489	460.7662
468.4612	81.17806	37.34125	-0.5597713	2427.205	424.1938
468.5120	87.54648	38.77821	-0.7124217	2502.241	373.8725
468.5628	89.71998	40.10622	-0.6904801	2483.488	409.6774
468.6136	89.66202	38.85035	-0.658187	2412.39	413.6407
468.6644	91.40768	36.29758	-0.5360631	2528.5	419.9912
468.7152	88.40853	34.48241	-0.7445303	2458.459	443.7224
468.7660	87.01786	33.94383	-0.7927103	2461.25	451.0016
468.8168	88.14675	33.07159	-0.7734603	2472.213	422.6382
468.8676	88.51648	31.95991	-0.7254832	2488.885	424.6939
468.9184	90.93353	31.09629	-0.5983005	2537.01	420.5052
468.9692	91.7429	32.20757	-0.3871136	2573.181	448.7333
469.0200	96.09814	33.72935	0.5606797	2564.905	409.605
469.0708	97.6103	33.03313	1.09786	2554.833	365.3255
469.1216	94.67259	34.05565	0.3072413	2472.154	478.3106
469.1724	90.65315	34.89455	-0.6272268	2466.229	436.6517
469.2232	90.33894	33.52932	-0.577445	2467.148	409.152
469.2740	84.4751	34.01706	-0.748997	2448.038	435.8575
469.3248	80.6027	33.97563	-0.5705248	2364	428.7293
469.3756	80.59891	34.21004	-0.5624633	2393.023	392.0094
469.4264	76.07337	35.10643	-0.1903328	2477.065	428.9784
469.4772	71.41548	36.40545	0.114166	2472.218	442.3107
469.5280	73.80956	35.18911	-0.346429	2491.787	455.5218
469.5788	76.42281	36.09068	-0.5521259	2525.765	378.838
469.6296	74.22421	37.25039	-0.7410907	2581.954	350.4743
469.6804	73.61375	38.04604	-0.5322598	2637.573	336.7259
469.7312	78.12163	37.78785	-0.6631304	2746.973	432.799
469.7820	77.47033	36.59888	-0.3834269	2620.954	403.6265
469.8328	79.4043	36.23119	-0.4628544	2573.891	454.1745
469.8836	82.64945	36.20689	-0.6974524	2680.043	427.6465
469.9344	84.65754	35.39525	-0.7840831	2541.481	439.6755
469.9852	86.23862	35.83847	-0.8157987	2649.222	390.5917
470.0360	82.84283	35.54484	-0.719904	2647.854	408.4817
470.0868	80.96082	34.18956	-0.6578836	2686.188	417.7585
470.1376	80.30718	37.29126	-0.5343586	2739.83	457.5443
470.1884	74.29826	39.99982	-0.0509813	2478.52	396.7048
470.2392	69.36885	38.69896	0.3625152	2468.09	384
470.2900	66.69977	39.19645	0.5667238	2509.458	388.7105
470.3408	61.81858	36.78603	0.8666531	2416.242	450.6823
470.3916	60.89195	36.31667	0.9165465	2423.744	369.1231
470.4424	61.32243	36.88995	0.9015367	2506.807	390.7898
470.4932	60.8816	34.78932	0.9207341	2675.258	361.4488
470.5440	61.95908	33.21077	0.8684877	2536.728	403.8253
470.5948	65.01418	34.79269	0.6989679	2584.714	392.0324
470.6456	69.0166	33.14333	0.4123513	2348.894	397.9774
470.6964	65.79226	33.62746	0.616001	2426.967	403.9225
470.7472	65.46532	33.888	0.6416051	2634.338	380.641
470.7980	64.76435	31.54187	0.6791192	2585.757	370.3138
470.8488	72.87723	32.77989	-0.5428114	2499.954	360.4494
470.8996	75.82008	36.01995	-0.4559304	2618.357	393.8835
470.9504	78.01084	35.70443	-0.64185	2380.708	397.8725
471.0012	78.92512	37.13835	-0.4702145	2493.217	399.8459
471.0520	80.34296	38.92917	-0.5578094	2461.981	458.4612
471.1028	81.16685	38.70209	-0.6107275	2547.045	391.31
471.1536	86.95212	41.37095	-0.7967005	2463.293	480.2725
471.2044	90.04403	40.56831	-0.6993481	2520.735	382.7288
471.2552	93.51499	37.75554	-0.1961455	2535.232	432.5326
471.3060	86.59606	35.07558	-0.7217342	2598.129	378.1451
471.3568	80.8621	34.94213	-0.5722545	2606.301	357.8036
471.4076	76.67991	32.77248	-0.2493488	2465.922	421.8199
471.4584	75.94051	30.35919	-0.1842703	2486.562	465.5959
471.5092	71.85786	28.99378	0.1675509	2378.263	445.8363
471.5600	69.29324	28.98991	0.3740942	2423.408	405.9189
471.6108	64.21315	28.43518	0.7116794	2491.161	479.5375
471.6616	60.678	29.87016	0.9012264	2557.671	468.429
471.7124	59.20522	30.17903	0.9621875	2336.845	394.1567
471.7632	59.85569	32.84777	0.9329897	2333.472	419.0305
471.8140	57.6273	34.85342	1.000717	2479.182	422.9156
471.8648	60.7074	37.81743	0.5780455	2487.093	464.8728
471.9156	65.42061	37.80877	0.1877577	2481.91	456.3609
471.9664	67.43671	38.76276	0.1501332	2381.861	483.0191
472.0172	64.31026	37.9502	0.6082121	2554.358	455.6573
472.0680	62.78357	38.15332	0.7087509	2481.683	442.8315
472.1188	62.34831	35.86673	0.7812505	2480.462	416.2391
472.1696	63.58887	35.02547	0.7491046	2565.681	458.9342
472.2204	67.57786	35.28328	0.4935641	2619.16	405.2346
472.2712	75.24225	35.1627	-0.1203278	2586.666	424.001
472.3220	80.48498	35.0955	-0.5488952	2566.636	428.2734
472.3728	83.1791	33.6678	-0.7251176	2555.092	408.2553
472.4236	86.90524	32.15733	-0.7889378	2446.743	393.8743
472.4744	84.7696	32.17309	-0.7289955	2317.812	443.148
472.5252	82.74442	32.64482	-0.6992035	2402.972	379.8468
472.5760	78.67231	32.37761	-0.3843656	2517.112	385.3813
472.6268	76.39445	32.19764	-0.2284182	2451.759	449.4641
472.6776	77.11946	31.24855	-0.2998076	2423.551	454.6515
472.7284	78.76817	30.68006	-0.4280146	2408.352	463.972
