HOLE:	U1513E
EXPEDITION:	369
TOP:	424.6313
BOTTOM:	580.7651
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
429.7875	1.57881	40	-0.007154612	1.554768
429.8129	1.573204	40	-0.007145661	1.558611
429.8383	1.570107	39.29585	-0.006361303	1.562934
429.8637	1.570304	39.02098	-0.005388302	1.569617
429.8891	1.572219	40	-0.00471652	1.573443
429.9145	1.574458	40	-0.0042082	1.573124
429.9399	1.574726	39.88456	-0.004501148	1.57076
429.9653	1.57426	39.52449	-0.005685734	1.569634
429.9907	1.575374	39.04481	-0.006852683	1.571648
430.0161	1.578009	39.43332	-0.006839713	1.571655
430.0415	1.579916	40	-0.006175735	1.575598
430.0669	1.57987	40	-0.005923933	1.586641
430.0923	1.581168	40	-0.005807832	1.592204
430.1177	1.582583	40	-0.006044718	1.59195
430.1431	1.583017	40	-0.006694196	1.588438
430.1685	1.578041	40	-0.008259188	1.584548
430.1939	1.575099	40	-0.009310569	1.57947
430.2193	1.571081	40	-0.01020637	1.571402
430.2447	1.569429	40	-0.01066465	1.563724
430.2701	1.562906	40	-0.0117289	1.564315
430.2955	1.564553	40	-0.0112682	1.568258
430.3209	1.57179	40	-0.009860946	1.570711
430.3463	1.573909	40	-0.009923068	1.570947
430.3717	1.571668	40	-0.01102229	1.572914
430.3971	1.568588	40	-0.01229176	1.575201
430.4225	1.57426	40	-0.01148229	1.574793
430.4479	1.575714	40	-0.0104044	1.579391
430.4733	1.575175	40	-0.009430242	1.585386
430.4987	1.576673	37.79737	-0.008355863	1.590189
430.5241	1.581499	39.5431	-0.007995663	1.586255
430.5495	1.587152	40	-0.007672712	1.583413
430.5749	1.586933	40	-0.007708105	1.580126
430.6003	1.576674	40	-0.01009883	1.578901
430.6257	1.565354	40	-0.0126332	1.574017
430.6511	1.564512	40	-0.01331433	1.567976
430.6765	1.567415	40	-0.01315249	1.572961
430.7019	1.570884	40	-0.01260612	1.591051
430.7273	1.571807	39.56639	-0.01176158	1.596735
430.7527	1.583835	39.982	-0.009800762	1.599504
430.7781	1.595619	40	-0.008965906	1.600289
430.8035	1.589673	40	-0.01146139	1.600621
430.8289	1.58322	39.40153	-0.0128985	1.600933
430.8543	1.572536	40	-0.01382367	1.591891
430.8797	1.573315	40	-0.01312641	1.584205
430.9051	1.572818	39.76307	-0.01303479	1.581362
430.9305	1.580775	35.70566	-0.01150447	1.579755
430.9559	1.587818	32.32952	-0.01011303	1.579082
430.9813	1.584932	36.25778	-0.01019016	1.579265
431.0067	1.577707	38.97144	-0.01019612	1.59189
431.0321	1.57155	40	-0.01023369	1.604956
431.0575	1.573574	40	-0.0100718	1.608065
431.0829	1.585375	40	-0.007140003	1.600682
431.1083	1.595415	40	-0.004516771	1.595606
431.1337	1.596357	40	-0.003571729	1.596536
431.1591	1.592146	39.72353	-0.003764648	1.585205
431.1845	1.588906	38.86483	-0.004008289	1.565488
431.2099	1.588117	39.43425	-0.004470198	1.553448
431.2353	1.584538	40	-0.005484403	1.545677
431.2607	1.581251	40	-0.005606239	1.551645
431.2861	1.577113	40	-0.005799085	1.559711
431.3115	1.574141	40	-0.006439377	1.562257
431.3369	1.572135	40	-0.007840477	1.571044
431.3623	1.572535	40	-0.008712865	1.574604
431.3877	1.568712	40	-0.01025441	1.570926
431.4131	1.56451	40	-0.01172299	1.570249
431.4385	1.560244	40	-0.0128626	1.567822
431.4639	1.558492	40	-0.01377865	1.561815
431.4893	1.555475	40	-0.01588934	1.55803
431.5147	1.555016	40	-0.01665227	1.556149
431.5401	1.555972	40	-0.01618588	1.55515
431.5655	1.5544	40	-0.01646489	1.554366
431.5909	1.55355	40	-0.01674131	1.55426
431.6163	1.553319	40	-0.01676401	1.554489
431.6417	1.552872	40	-0.01652258	1.55452
431.6671	1.554775	40	-0.01573307	1.554331
431.6925	1.556741	40	-0.01451545	1.554406
431.7179	1.556041	40	-0.01413959	1.555568
431.7433	1.552746	40	-0.01448684	1.556125
431.7687	1.55443	40	-0.01410959	1.556536
431.7941	1.561728	40	-0.01225994	1.556442
431.8195	1.566148	33.16015	-0.01048188	1.554909
431.8449	1.564503	33.84568	-0.01116116	1.554032
431.8703	1.555414	38.80907	-0.01280742	1.55469
431.8957	1.544889	40	-0.01412543	1.557751
431.9211	1.546859	40	-0.01329347	1.562164
431.9465	1.559934	40	-0.01083705	1.562792
431.9719	1.575013	40	-0.008142634	1.561713
431.9973	1.569671	40	-0.00878337	1.561902
432.0227	1.558044	40	-0.01019027	1.562679
432.0481	1.54677	40	-0.01141921	1.561505
432.0735	1.545789	40	-0.01144062	1.556315
432.0989	1.553132	40	-0.01057087	1.551549
432.1243	1.562122	40	-0.009520689	1.548572
432.1497	1.56475	40	-0.008683788	1.547589
432.1751	1.553574	40	-0.0100247	1.547782
432.2005	1.539523	40	-0.01210342	1.548124
432.2259	1.539539	40	-0.01247918	1.548222
432.2513	1.547736	40	-0.01139384	1.548394
432.2767	1.55641	40	-0.01053135	1.548273
432.3021	1.552801	40	-0.01171277	1.550114
432.3275	1.551807	40	-0.01271189	1.551549
432.3529	1.550299	40	-0.01353607	1.550901
432.3783	1.551549	40	-0.01395684	1.548015
432.4037	1.549566	40	-0.0148172	1.5457
432.4291	1.543235	40	-0.01595994	1.545328
432.4545	1.536869	40	-0.01708936	1.547213
432.4799	1.53667	40	-0.01701887	1.551679
432.5053	1.550138	40	-0.01425247	1.560948
432.5307	1.563598	40	-0.01142206	1.572602
432.5561	1.574566	40	-0.00803726	1.57867
432.5815	1.582894	40	-0.006048585	1.588504
432.6069	1.591352	39.63281	-0.004015417	1.597183
432.6323	1.599213	35.97559	-0.001953584	1.598966
432.6577	1.605495	31.77852	-0.0001745117	1.602407
432.6831	1.61189	29.73725	0.001671	1.604228
432.7085	1.618892	35.32216	0.004057964	1.608256
432.7339	1.623949	39.42554	0.006568933	1.618556
432.7593	1.627367	40	0.007134462	1.623908
432.7847	1.631822	40	0.00777956	1.62913
432.8101	1.63434	39.31366	0.008569611	1.638604
432.8355	1.63804	35.58221	0.01077132	1.644835
432.8609	1.642549	30.71855	0.01371288	1.650661
432.8863	1.646399	30.90831	0.01445958	1.656744
432.9117	1.654865	35.04266	0.01847414	1.664738
432.9371	1.670397	37.93172	0.02482519	1.675513
432.9625	1.690153	32.84101	0.0324563	1.688877
432.9879	1.706257	22.9155	0.03920249	1.703617
433.0133	1.718972	18.50088	0.04450963	1.718742
433.0387	1.735435	18.15362	0.04802808	1.734462
433.0641	1.748559	17.70578	0.04958144	1.751783
433.0895	1.76131	16.69907	0.0530023	1.769953
433.1149	1.781146	15.54798	0.06139405	1.786775
433.1403	1.812243	15.50703	0.07279573	1.800969
433.1657	1.832538	15.6781	0.08007507	1.81405
433.1911	1.835466	15.12933	0.07984823	1.826653
433.2165	1.83393	13.86251	0.07684512	1.836283
433.2419	1.840772	13.27518	0.07648578	1.840984
433.2673	1.848932	13.56147	0.07697319	1.844058
433.2927	1.848755	14.73085	0.07481018	1.84917
433.3181	1.846065	16.10452	0.06944407	1.855821
433.3435	1.855262	17.78704	0.06552599	1.860079
433.3689	1.871522	17.48165	0.06238879	1.86041
433.3943	1.879982	15.6382	0.05638604	1.858455
433.4197	1.869464	14.35171	0.04529067	1.855966
433.4451	1.850373	14.68866	0.03054484	1.853516
433.4705	1.834376	16.0135	0.01717753	1.851431
433.4959	1.828666	15.6788	0.01039539	1.849798
433.5213	1.840251	15.18471	0.009785214	1.849078
433.5467	1.858907	15.11648	0.01113232	1.848813
433.5721	1.86842	15.68888	0.009654162	1.850237
433.5975	1.863341	15.13772	0.007600604	1.859594
433.6229	1.853658	14.05986	0.005647497	1.869861
433.6483	1.853261	13.55969	0.005363812	1.875796
433.6737	1.851717	14.10774	0.005011478	1.870388
433.6991	1.84877	15.007	0.004604602	1.865877
433.7245	1.842788	15.26222	0.004049093	1.866909
433.7499	1.84469	14.73842	0.006961864	1.869004
433.7753	1.849307	14.94067	0.01123681	1.863097
433.8007	1.85367	16.24679	0.01489929	1.855492
433.8261	1.857873	17.00813	0.01880851	1.850353
433.8515	1.860576	15.58274	0.02132814	1.856382
433.8769	1.859166	14.07221	0.02262802	1.861576
433.9023	1.863473	12.67181	0.02652794	1.8639
433.9277	1.864993	11.49984	0.02580502	1.865495
433.9531	1.869965	10.50346	0.02533004	1.866498
433.9785	1.870893	9.809086	0.02582366	1.866992
434.0039	1.869315	10.02084	0.02686121	1.866725
434.0293	1.867464	10.31465	0.02789894	1.866183
434.0547	1.862254	9.49145	0.02480559	1.86452
434.0801	1.8618	7.898192	0.02349471	1.863114
434.1055	1.861257	6.783535	0.02226743	1.862481
434.1309	1.858618	6.972863	0.02355028	1.86278
434.1563	1.861542	7.782414	0.02583916	1.862886
434.1817	1.865062	8.711009	0.02841451	1.862214
434.2071	1.869024	9.019464	0.0277491	1.861925
434.2325	1.862597	9.170472	0.02716835	1.862533
434.2579	1.857242	9.480872	0.02714521	1.862518
434.2833	1.859272	11.03725	0.02735272	1.860425
434.3087	1.863002	13.47892	0.03259513	1.85808
434.3341	1.860997	16.44552	0.03362334	1.856757
434.3595	1.850796	16.27018	0.03166381	1.856265
434.3849	1.852601	13.47565	0.03469816	1.855997
434.4103	1.853129	11.41565	0.0360053	1.85561
434.4357	1.854112	9.99314	0.03471939	1.85644
434.4611	1.85781	9.192925	0.03154443	1.859546
434.4865	1.860601	9.944498	0.02733327	1.862865
434.5119	1.866418	11.09582	0.02520897	1.865945
434.5373	1.872499	11.96622	0.02535803	1.868039
434.5627	1.875569	10.05577	0.02338865	1.868931
434.5881	1.874126	8.974824	0.020134	1.871946
