HOLE:	U1513A
EXPEDITION:	369
TOP:	88.3041
BOTTOM:	258.0776
DEPTH_WMSF	LCAL
m	in
164.8088	12.71465
164.9612	12.74266
165.1136	12.77528
165.2660	12.8266
165.4184	12.82663
165.5708	12.85462
165.7232	12.8313
165.8756	12.84062
166.0280	12.83597
166.1804	12.85464
166.3328	12.98993
166.4852	12.98527
166.6376	12.88733
166.7900	12.89195
166.9424	12.89009
167.0948	12.89661
167.2472	12.90595
167.3996	12.89662
167.5520	12.91532
167.7044	13.07864
167.8568	13.1765
168.0092	13.10193
168.1616	13.1579
168.3140	13.20923
168.4664	13.22787
168.6188	13.21389
168.7712	13.21389
168.9236	13.21856
169.0760	13.21858
169.2284	13.25586
169.3808	13.42382
169.5332	13.42385
169.6856	13.42384
169.8380	13.41452
169.9904	13.42385
170.1428	13.42385
170.2952	13.43318
170.4476	13.42386
170.6000	13.43318
170.7524	13.54981
170.9048	13.72245
171.0572	13.71873
171.2096	13.73489
171.3620	13.71313
171.5144	13.73367
171.6668	13.79712
171.8192	13.82974
171.9716	13.5126
172.1240	13.52183
172.2764	13.51716
172.4288	13.51716
172.5812	13.51716
172.7336	13.53116
172.8860	13.51717
173.0384	13.53116
173.1908	13.5265
173.3432	13.57781
173.4956	13.56849
173.6480	13.59182
173.8004	13.59648
173.9528	13.66178
174.1052	13.72712
174.2576	13.74112
174.4100	13.73646
174.5624	13.73645
174.7148	13.72712
174.8672	13.73645
175.0196	13.73178
175.1720	13.72246
175.3244	13.74578
175.4768	13.94641
175.6292	13.98373
175.7816	13.96975
175.9340	13.96507
176.0864	13.96974
176.2388	13.97906
176.3912	13.96509
176.5436	13.9744
176.6960	14.00706
176.8484	14.01173
177.0008	14.00241
177.1532	14.01173
177.3056	14.01173
177.4580	14.00706
177.6104	14.0024
177.7628	13.99774
177.9152	14.01173
178.0676	13.99773
178.2200	14.00707
178.3724	14.00707
178.5248	13.99774
178.6772	13.99773
178.8296	13.99773
178.9820	13.99307
179.1344	13.99773
179.2868	14.0024
179.4392	13.96974
179.5916	13.96041
179.7440	13.96507
179.8964	13.95108
180.0488	13.9744
180.2012	13.96508
180.3536	13.9744
180.5060	13.95109
180.6584	13.96507
180.8108	13.94643
180.9632	14.04909
181.1156	14.10501
181.2680	14.08639
181.4204	14.06306
181.5728	14.06772
181.7252	14.06306
181.8776	14.07705
182.0300	14.06306
182.1824	14.08171
182.3348	14.06307
182.4872	14.06772
182.6396	14.06306
182.7920	14.07238
182.9444	14.06306
183.0968	14.06772
183.2492	14.06772
183.4016	14.02106
183.5540	13.94641
183.7064	13.95573
183.8588	13.94175
184.0112	13.94175
184.1636	13.94175
184.3160	13.94641
184.4684	13.93708
184.6208	13.94641
184.7732	13.94641
184.9256	13.93708
185.0780	13.94174
185.2304	13.94175
185.3828	13.94174
185.5352	13.9464
185.6876	13.93242
185.8400	13.92775
185.9924	13.94174
186.1448	13.93708
186.2972	13.94174
186.4496	13.93242
186.6020	13.93708
186.7544	13.93241
186.9068	13.88571
187.0592	13.80183
187.2116	13.79711
187.3640	13.72245
187.5164	13.72245
187.6688	13.72245
187.8212	13.73644
187.9736	13.72246
188.1260	13.72245
188.2784	13.72245
188.4308	13.73178
188.5832	13.73645
188.7356	13.73645
188.8880	13.72715
189.0404	13.77841
189.1928	13.82508
189.3452	13.8251
189.4976	13.82044
189.6500	13.82696
189.8024	13.99765
189.9548	14.11903
190.1072	14.37566
190.2596	14.37566
190.4120	14.36167
190.5644	14.33834
190.7168	13.94171
190.8692	13.72246
191.0216	13.73178
191.1740	13.72246
191.3264	13.74112
191.4788	13.72246
191.6312	13.7411
191.7836	13.72246
191.9360	13.73645
192.0884	13.71313
192.2408	13.73643
192.3932	13.74111
192.5456	13.81575
192.6980	13.81111
192.8504	13.86246
193.0028	13.93702
193.1552	13.91376
193.3076	13.91842
193.4600	13.90909
193.6124	13.91375
193.7648	13.92028
193.9172	13.94174
194.0696	13.93242
194.2220	13.9464
194.3744	13.94641
194.5268	13.94641
194.6792	13.94175
194.8316	13.94174
194.9840	13.93708
195.1364	13.95573
195.2888	13.94641
195.4412	13.95574
195.5936	13.94176
195.7460	13.95107
195.8984	13.93708
196.0508	13.94641
196.2032	13.94175
196.3556	13.94641
196.5080	13.93242
196.6604	13.95107
196.8128	13.94175
196.9652	13.95107
197.1176	13.94641
197.2700	13.95574
197.4224	13.94175
197.5748	13.95573
197.7272	13.93709
197.8796	13.94641
198.0320	13.94641
198.1844	13.95107
198.3368	13.93709
198.4892	13.93708
198.6416	13.91282
198.7940	13.92778
198.9464	13.99768
199.0988	14.03504
199.2512	14.03039
199.4036	14.03506
199.5560	14.02574
199.7084	14.02106
199.8608	14.02573
200.0132	14.0304
200.1656	14.04907
200.3180	14.0817
200.4704	14.25429
200.6228	14.37099
200.7752	14.37566
200.9276	14.38032
201.0800	14.38499
201.2324	14.38499
201.3848	14.37566
201.5372	14.37566
201.6896	14.38498
201.8420	14.36633
201.9944	14.31967
202.1468	14.31963
202.2992	14.25439
202.4516	13.93252
202.6040	13.68513
202.7564	13.62914
202.9088	13.6338
203.0612	13.62168
203.2136	13.60426
203.3660	13.59555
203.5184	13.61046
203.6708	13.67109
203.8232	13.72711
203.9756	13.72712
204.1280	13.73178
204.2804	13.72246
204.4328	13.72712
204.5852	13.77378
204.7376	13.94178
204.8900	14.03032
205.0424	14.42213
205.1948	14.60892
205.3472	14.70226
205.4996	14.71624
205.6520	14.71626
205.8044	14.72559
205.9568	14.71626
206.1092	14.73495
206.2616	14.79087
206.4140	14.94948
206.5664	14.94954
206.7188	14.96354
206.8712	14.94956
207.0236	14.96354
207.1760	14.94488
207.3284	14.94021
207.4808	14.92157
207.6332	14.88331
207.7856	14.69764
207.9380	14.1097
208.0904	14.0024
208.2428	14.00706
208.3952	14.0024
208.5476	13.96041
208.7000	13.71773
208.8524	13.54531
209.0048	13.30266
209.1572	13.15792
209.3096	13.16723
209.4620	13.15791
209.6144	13.1952
209.7668	13.44244
209.9192	13.56849
210.0716	13.56847
210.2240	13.52653
210.3764	13.52649
210.5288	13.51716
210.6812	13.51716
210.8336	13.52182
210.9860	13.52649
211.1384	13.47518
211.2908	13.28387
211.4432	13.25125
211.5956	13.24189
211.7480	13.25587
211.9004	13.23722
212.0528	13.24655
212.2052	13.24189
212.3576	13.26054
212.5100	13.23722
212.6624	13.18115
212.8148	12.93883
212.9672	12.99457
213.1196	13.06924
213.2720	13.12524
213.4244	13.12524
213.5768	13.12524
213.7292	13.12524
213.8816	13.12524
214.0340	13.12524
214.1864	13.12524
214.3388	13.10659
214.4912	13.10191
214.6436	13.27917
214.7960	13.13471
214.9484	12.84079
215.1008	12.84996
215.2532	12.84063
215.4056	12.84529
215.5580	12.83131
215.7104	12.84063
215.8628	12.83596
216.0152	12.836
216.1676	12.92454
216.3200	13.17179
216.4724	13.35385
216.6248	13.32119
216.7772	13.28205
216.9296	13.27455
217.0820	13.28387
217.2344	13.27454
217.3868	13.27454
217.5392	13.21393
217.6916	13.20456
217.8440	13.27454
217.9964	13.27451
218.1488	13.19063
218.3012	13.13926
218.4536	13.12058
218.6060	13.01791
218.7584	12.93869
218.9108	12.60754
219.0632	12.46274
219.2156	12.36472
219.3680	12.30414
219.5204	12.26211
219.6728	12.26208
219.8252	12.25741
219.9776	12.24807
220.1300	12.2341
220.2824	12.2061
220.4348	12.16877
220.5872	12.22943
220.7396	12.28069
220.8920	12.29473
221.0444	12.28914
221.1968	12.28541
221.3492	12.28168
221.5016	12.28074
221.6540	12.28541
221.8064	12.28074
221.9588	12.28541
222.1112	12.29473
222.2636	12.28075
222.4160	12.25275
222.5684	12.25275
222.7208	12.25275
222.8732	12.24808
223.0256	12.25275
223.1780	12.2434
223.3304	12.06166
223.4828	11.89827
223.6352	11.4784
223.7876	11.66953
223.9400	12.1641
224.0924	12.17808
224.2448	12.17809
224.3972	12.17343
224.5496	12.14075
224.7020	12.06153
224.8544	12.03347
225.0068	11.98215
225.1592	11.63219
225.3116	11.45977
225.4640	11.71599
225.6164	11.72178
225.7688	11.70686
225.9212	11.70685
226.0736	11.70685
226.2260	11.71618
226.3784	11.70686
226.5308	11.69285
226.6832	11.66023
226.8356	11.66486
226.9880	11.6602
227.1404	11.6882
227.2928	11.76276
227.4452	11.79548
227.5976	11.87012
227.7500	12.01945
227.9024	12.11281
228.0548	12.21533
228.2072	12.38329
228.3596	12.73325
228.5120	12.84529
228.6644	12.84529
228.8168	12.83597
228.9692	12.85462
229.1216	12.93861
229.2740	12.87337
229.4264	12.5656
229.5788	12.26688
229.7312	12.19676
229.8836	12.19205
230.0360	12.05691
230.1884	11.89824
230.3408	11.7722
230.4932	11.77218
230.6456	11.77684
230.7980	11.80482
230.9504	11.8095
231.1028	11.80017
231.2552	11.81886
231.4076	11.87478
231.5600	11.91679
231.7124	11.91215
231.8648	11.92148
232.0172	11.91682
232.1696	11.92148
232.3220	11.9448
232.4744	11.96347
232.6268	11.94949
232.7792	11.9588
232.9316	11.95881
233.0840	11.95881
233.2364	11.94948
233.3888	11.95414
233.5412	11.95414
233.6936	11.94947
233.8460	11.94947
233.9984	11.94947
234.1508	11.95414
234.3032	11.94947
234.4556	11.98214
234.6080	12.00544
234.7604	12.02877
234.9128	12.00547
235.0652	12.02413
235.2176	12.01013
235.3700	12.01945
235.5224	12.0148
235.6748	12.02412
235.8272	12.01946
235.9796	12.02412
236.1320	12.0148
236.2844	12.02412
236.4368	12.01013
236.5892	12.02877
236.7416	12.01947
236.8940	12.01946
237.0464	12.00546
237.1988	12.02413
237.3512	12.02413
237.5036	12.02413
237.6560	12.04279
237.8084	12.17348
237.9608	12.37851
238.1132	12.4067
238.2656	12.40672
238.4180	12.40671
238.5704	12.40672
238.7228	12.40205
238.8752	12.41138
239.0276	12.38339
239.1800	12.36935
239.3324	12.24353
239.4848	12.10818
239.6372	12.08012
239.7896	12.09413
239.9420	12.17335
240.0944	12.13613
240.2468	12.1361
240.3992	12.1361
240.5516	12.1361
240.7040	12.1361
240.8564	12.1361
241.0088	12.14544
241.1612	12.05209
241.3136	11.94957
241.4660	11.91217
241.6184	11.83751
241.7708	11.83376
241.9232	11.83283
242.0756	11.83283
242.2280	11.84682
242.3804	11.83283
242.5328	11.84215
242.6852	11.8375
242.8376	11.90279
242.9900	12.51399
243.1424	12.71927
243.2948	12.57015
243.4472	12.66328
243.5996	12.65867
243.7520	12.67266
243.9044	12.67732
244.0568	12.67267
244.2092	12.66333
244.3616	12.87792
244.5140	12.1929
244.6664	12.16412
244.8188	12.18742
244.9712	12.13144
245.1236	12.13142
245.2760	12.08482
245.4284	12.09411
245.5808	12.08012
245.7332	12.08478
245.8856	12.08944
246.0380	12.20134
246.1904	12.19956
246.3428	12.16876
246.4952	12.08022
246.6476	12.08011
246.8000	12.24334
246.9524	12.31806
247.1048	12.02879
247.2572	12.02879
247.4096	12.15935
247.5620	12.34602
247.7144	12.41605
247.8668	12.46732
248.0192	12.45338
248.1716	12.34144
248.3240	12.25741
248.4764	12.14091
248.6288	12.09881
248.7812	12.08945
248.9336	12.12677
249.0860	12.01012
249.2384	11.96352
249.3908	11.95415
249.5432	11.99146
249.6956	11.99146
249.8480	11.97282
250.0004	11.90287
250.1528	12.29926
250.3052	12.76131
250.4576	12.81257
250.6100	12.80331
250.7624	11.17577
250.9148	3.948657
251.0672	3.574466
251.2196	3.560486
251.3720	3.579124
251.5244	3.555813
251.6768	3.555807
251.8292	3.560467
251.9816	3.569797
252.1340	3.555812
252.2864	3.560472
