HOLE:	U1513D
EXPEDITION:	369
TOP:	175.1527
BOTTOM:	300.5779
DEPTH_WMSF	LCAL
m	in
258.9727	13.66909
259.1251	14.73296
259.2775	15.01003
259.4299	14.99901
259.5823	15.00086
259.7347	14.99155
259.8871	14.98687
260.0395	14.79005
260.1919	14.15545
260.3443	15.2608
260.4967	15.93904
260.6491	13.81679
260.8015	13.14864
260.9539	13.81115
261.1063	15.93381
261.2587	16.96452
261.4111	16.981
261.5635	16.97728
261.7159	16.74238
261.8683	15.78541
262.0207	14.1411
262.1731	14.68919
262.3255	13.1924
262.4779	12.44282
262.6303	12.35264
262.7827	12.36939
262.9351	13.38515
263.0875	15.32929
263.2399	16.82892
263.3923	14.5927
263.5447	13.3883
263.6971	13.38186
263.8495	13.1963
264.0019	12.92378
264.1543	13.95107
264.3067	14.41987
264.4591	16.57229
264.6115	16.68981
264.7639	15.73818
264.9163	12.98342
265.0687	14.1785
265.2211	14.05846
265.3735	16.75264
265.5259	16.20814
265.6783	14.24721
265.8307	13.12608
265.9831	13.49463
266.1355	14.88887
266.2879	15.42012
266.4403	16.05943
266.5927	16.18963
266.7451	14.096
266.8975	13.89536
267.0499	16.63486
267.2023	17.06659
267.3547	17.06313
267.5071	17.07245
267.6595	17.07059
267.8119	17.06313
267.9643	17.07245
268.1167	17.05193
268.2691	17.07057
268.4215	16.74148
268.5739	16.11537
268.7263	15.40222
268.8787	15.38348
269.0311	15.61465
269.1835	17.0622
269.3359	17.05846
269.4883	16.57777
269.6407	15.34007
269.7931	14.22721
269.9455	14.06219
270.0979	14.2898
270.2503	14.29633
270.4027	14.2749
270.5551	13.50637
270.7075	12.81741
270.8599	13.50128
271.0123	14.60222
271.1647	16.39942
271.3171	14.96581
271.4695	16.50328
271.6219	17.05783
271.7743	17.07058
271.9267	16.79076
272.0791	16.37728
272.2315	16.13029
272.3839	16.13744
272.5363	16.3305
272.6887	16.40244
272.8411	14.83695
272.9935	16.52016
273.1459	16.2123
273.2983	17.07034
273.4507	17.06312
273.6031	17.0594
273.7555	17.07804
273.9079	17.0538
274.0603	17.07059
274.2127	17.05941
274.3651	17.06312
274.5175	17.05939
274.6699	16.76457
274.8223	16.04234
274.9747	16.31259
275.1271	17.0589
275.2795	17.06685
275.4319	17.05846
275.5843	17.06312
275.7367	17.05846
275.8891	17.06685
276.0415	17.06686
276.1939	17.05381
276.3463	17.05939
276.4987	17.06312
276.6511	15.4724
276.8035	15.19722
