HOLE:	U1354C
EXPEDITION:	317
TOP:	109.0384
BOTTOM:	379.8532
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
144.8524	1.0493	1.0137	0.5917
145.0048	1.0541	1.0235	0.5880
145.1572	1.0685	1.0468	0.5948
145.3096	1.0737	1.0841	0.5949
145.4620	1.0816	1.1274	0.6626
145.6144	1.0950	1.1607	0.7247
145.7668	1.1250	1.1720	0.7004
145.9192	1.1383	1.1663	0.7000
146.0716	1.1641	1.1612	0.7076
146.2240	1.1935	1.1695	0.7172
146.3764	1.2001	1.1930	0.7258
146.5288	1.2012	1.2232	0.7812
146.6812	1.2056	1.2467	0.7628
146.8336	1.2140	1.2543	0.7764
146.9860	1.2122	1.2467	0.7267
147.1384	1.2056	1.2292	0.7046
147.2908	1.1733	1.2063	0.7136
147.4432	1.1730	1.1796	0.7233
147.5956	1.1351	1.1483	0.7000
147.7480	1.1264	1.1137	0.6442
147.9004	1.1242	1.0828	0.6458
148.0528	1.1184	1.0647	0.6268
148.2052	1.1201	1.0658	0.6388
148.3576	1.1224	1.0887	0.6263
148.5100	1.1478	1.1299	0.6358
148.6624	1.1628	1.1805	0.6772
148.8148	1.1985	1.2328	0.6661
148.9672	1.2454	1.2841	0.8095
149.1196	1.2924	1.3323	0.8514
149.2720	1.2959	1.3733	0.7944
149.4244	1.3525	1.4048	0.9455
149.5768	1.4072	1.4242	0.9012
149.7292	1.4075	1.4340	0.8914
149.8816	1.4312	1.4419	0.8886
150.0340	1.4215	1.4516	0.8995
150.1864	1.4301	1.4606	0.9005
150.3388	1.4396	1.4719	0.9272
150.4912	1.5105	1.4927	0.8326
150.6436	1.5409	1.5255	0.8729
150.7960	1.5477	1.5734	0.8546
150.9484	1.6169	1.6445	1.0735
151.1008	1.6177	1.7351	1.0897
151.2532	1.6095	1.8089	1.1281
151.4056	1.5350	1.8053	1.0853
151.5580	1.5091	1.6958	0.9855
151.7104	1.4627	1.5234	0.9586
151.8628	1.3102	1.3582	0.7359
152.0152	1.2660	1.2383	0.6540
152.1676	1.2080	1.1639	0.6652
152.3200	1.1473	1.1206	0.6553
152.4724	1.0870	1.0967	0.6464
152.6248	1.0774	1.0848	0.6604
152.7772	1.0593	1.0784	0.7014
152.9296	1.0518	1.0739	0.6954
153.0820	1.0466	1.0708	0.6930
153.2344	1.0421	1.0670	0.6859
153.3868	1.0340	1.0610	0.6576
153.5392	1.0325	1.0543	0.6559
153.6916	1.0279	1.0489	0.6523
153.8440	1.0232	1.0442	0.6433
153.9964	1.0154	1.0403	0.6510
154.1488	1.0109	1.0376	0.6610
154.3012	1.0094	1.0349	0.6596
154.4536	1.0070	1.0319	0.6738
154.6060	1.0067	1.0291	0.6562
154.7584	1.0077	1.0273	0.6500
154.9108	1.0101	1.0271	0.6571
155.0632	1.0121	1.0297	0.6467
155.2156	1.0142	1.0346	0.6590
155.3680	1.0233	1.0408	0.6520
155.5204	1.0267	1.0473	0.6557
155.6728	1.0364	1.0535	0.6651
155.8252	1.0386	1.0595	0.6480
155.9776	1.0407	1.0651	0.6512
156.1300	1.0428	1.0696	0.6431
156.2824	1.0448	1.0721	0.6645
156.4348	1.0465	1.0724	0.6583
156.5872	1.0488	1.0717	0.6622
156.7396	1.0504	1.0714	0.6494
156.8920	1.0504	1.0724	0.6707
157.0444	1.0497	1.0740	0.6718
157.1968	1.0509	1.0747	0.6564
157.3492	1.0518	1.0740	0.6554
157.5016	1.0526	1.0727	0.6549
157.6540	1.0542	1.0717	0.6362
157.8064	1.0553	1.0713	0.6412
157.9588	1.0538	1.0706	0.6581
158.1112	1.0472	1.0681	0.6505
158.2636	1.0420	1.0621	0.6634
158.4160	1.0356	1.0508	0.6492
158.5684	1.0242	1.0321	0.6439
158.7208	1.0197	1.0083	0.6232
158.8732	1.0254	0.9883	0.5745
159.0256	1.0273	0.9833	0.5526
159.1780	1.0292	0.9993	0.5626
159.3304	1.0321	1.0324	0.5825
159.4828	1.0347	1.0687	0.6210
159.6352	1.0522	1.0948	0.6385
159.7876	1.0961	1.1096	0.6435
159.9400	1.1186	1.1228	0.6539
160.0924	1.1275	1.1424	0.6772
160.2448	1.1313	1.1663	0.6929
160.3972	1.1353	1.1827	0.7642
160.5496	1.1170	1.1784	0.7188
160.7020	1.1112	1.1494	0.6619
160.8544	1.1095	1.1055	0.6378
161.0068	1.1023	1.0622	0.6124
161.1592	1.0813	1.0325	0.6197
161.3116	1.0718	1.0223	0.5927
161.4640	1.0698	1.0300	0.6163
161.6164	1.0723	1.0487	0.6234
161.7688	1.0750	1.0709	0.6190
161.9212	1.0815	1.0902	0.6121
162.0736	1.0932	1.1006	0.6306
162.2260	1.0870	1.0983	0.6253
162.3784	1.0888	1.0853	0.6301
162.5308	1.0927	1.0694	0.6407
162.6832	1.1039	1.0605	0.6117
162.8356	1.1100	1.0668	0.5979
162.9880	1.1135	1.0892	0.6335
163.1404	1.1155	1.1207	0.6692
163.2928	1.1205	1.1496	0.6888
163.4452	1.1284	1.1671	0.7012
163.5976	1.1594	1.1730	0.6858
163.7500	1.2123	1.1770	0.7266
163.9024	1.2318	1.1908	0.7194
164.0548	1.2358	1.2220	0.7149
164.2072	1.2506	1.2688	0.7287
164.3596	1.2370	1.3143	0.7136
164.5120	1.2163	1.3285	0.7914
164.6644	1.1994	1.2917	0.7235
164.8168	1.1878	1.2181	0.6463
164.9692	1.1892	1.1446	0.6518
165.1216	1.1928	1.1029	0.6104
165.2740	1.1998	1.1077	0.6317
165.4264	1.2274	1.1588	0.6466
165.5788	1.3060	1.2489	0.6904
165.7312	1.3351	1.3676	0.8659
165.8836	1.3701	1.4976	1.0540
166.0360	1.4623	1.6117	1.0955
166.1884	1.5548	1.6886	1.0507
166.3408	1.6654	1.7291	1.1186
166.4932	1.7270	1.7515	1.1145
166.6456	1.7589	1.7791	1.1070
166.7980	1.7816	1.8223	1.1379
166.9504	1.8038	1.8683	1.1399
167.1028	1.8609	1.9039	1.1672
167.2552	1.9148	1.9420	1.1504
167.4076	1.9541	2.0072	1.2435
167.5600	2.0313	2.1106	1.2818
167.7124	2.0731	2.2399	1.3032
167.8648	2.0919	2.3587	1.4147
168.0172	2.1673	2.4301	1.4411
168.1696	2.2393	2.4547	1.3969
168.3220	2.2551	2.4548	1.3781
168.4744	2.2164	2.4363	1.4101
168.6268	2.0810	2.3897	1.3943
168.7792	1.9594	2.2930	1.3928
168.9316	1.8322	2.1186	1.3620
169.0840	1.6425	1.8773	1.1255
169.2364	1.5048	1.6239	0.9435
169.3888	1.4064	1.4082	0.7311
169.5412	1.2880	1.2521	0.6773
169.6936	1.1624	1.1538	0.6892
169.8460	1.0873	1.0972	0.6870
169.9984	1.0376	1.0639	0.6955
170.1508	1.0248	1.0424	0.6496
170.3032	1.0209	1.0278	0.6502
170.4556	1.0277	1.0208	0.6412
170.6080	1.0566	1.0282	0.6735
170.7604	1.0846	1.0588	0.6950
170.9128	1.1060	1.1151	0.8002
171.0652	1.1608	1.1898	0.8080
171.2176	1.2028	1.2663	0.8398
171.3700	1.2267	1.3249	0.8612
171.5224	1.2798	1.3556	0.8067
171.6748	1.3316	1.3665	0.8188
171.8272	1.3635	1.3745	0.8233
171.9796	1.3974	1.3917	0.8360
172.1320	1.4258	1.4209	0.8632
172.2844	1.4427	1.4583	0.8974
172.4368	1.4560	1.4973	0.8887
172.5892	1.4635	1.5307	0.9450
172.7416	1.4608	1.5510	0.9531
172.8940	1.3952	1.5460	0.9434
173.0464	1.3585	1.5035	0.8446
173.1988	1.3402	1.4262	0.8553
173.3512	1.3001	1.3352	0.8070
173.5036	1.2241	1.2512	0.7758
173.6560	1.1758	1.1837	0.6714
173.8084	1.1374	1.1336	0.6689
173.9608	1.1143	1.1003	0.7069
174.1132	1.1069	1.0841	0.7007
174.2656	1.1049	1.0866	0.6702
174.4180	1.1081	1.1062	0.7320
174.5704	1.1216	1.1360	0.7561
174.7228	1.1352	1.1664	0.7284
174.8752	1.1412	1.1890	0.7349
175.0276	1.1505	1.1986	0.7317
175.1800	1.1558	1.1953	0.7168
175.3324	1.1574	1.1851	0.7103
175.4848	1.1576	1.1745	0.7032
175.6372	1.1567	1.1676	0.7159
175.7896	1.1572	1.1661	0.7112
175.9420	1.1597	1.1695	0.7072
176.0944	1.1596	1.1756	0.7251
176.2468	1.1574	1.1827	0.7144
176.3992	1.1444	1.1884	0.7204
176.5516	1.1201	1.1869	0.7345
176.7040	1.1139	1.1712	0.7238
176.8564	1.1104	1.1408	0.6765
177.0088	1.0974	1.1045	0.6450
177.1612	1.0686	1.0738	0.6507
177.3136	1.0546	1.0554	0.6486
177.4660	1.0436	1.0482	0.6736
177.6184	1.0347	1.0456	0.6639
177.7708	1.0456	1.0430	0.6741
177.9232	1.0463	1.0426	0.6351
178.0756	1.0491	1.0499	0.6636
178.2280	1.0627	1.0672	0.6880
178.3804	1.0772	1.0910	0.7034
178.5328	1.0864	1.1145	0.7018
178.6852	1.0927	1.1305	0.6871
178.8376	1.1069	1.1371	0.6850
178.9900	1.1103	1.1373	0.6843
179.1424	1.1075	1.1338	0.6733
179.2948	1.0943	1.1265	0.6872
179.4472	1.0818	1.1155	0.6872
179.5996	1.0790	1.1027	0.6798
179.7520	1.0719	1.0894	0.6800
179.9044	1.0608	1.0773	0.6620
180.0568	1.0539	1.0676	0.6406
180.2092	1.0468	1.0605	0.6243
180.3616	1.0438	1.0566	0.6357
180.5140	1.0452	1.0571	0.6456
180.6664	1.0515	1.0627	0.6545
180.8188	1.0570	1.0731	0.6539
180.9712	1.0637	1.0870	0.6842
181.1236	1.0792	1.1032	0.6944
181.2760	1.0922	1.1197	0.7044
181.4284	1.0973	1.1342	0.6909
181.5808	1.1025	1.1441	0.7059
181.7332	1.1031	1.1478	0.7060
181.8856	1.1013	1.1445	0.7010
182.0380	1.0962	1.1350	0.6775
182.1904	1.0849	1.1218	0.6735
182.3428	1.0718	1.1073	0.6552
182.4952	1.0585	1.0913	0.6547
182.6476	1.0469	1.0738	0.6571
182.8000	1.0352	1.0558	0.6452
182.9524	1.0260	1.0399	0.6376
183.1048	1.0201	1.0292	0.6361
183.2572	1.0177	1.0255	0.6375
183.4096	1.0172	1.0273	0.6447
183.5620	1.0220	1.0322	0.6494
183.7144	1.0379	1.0400	0.6620
183.8668	1.0507	1.0536	0.6817
184.0192	1.0667	1.0760	0.6829
184.1716	1.0934	1.1055	0.6833
184.3240	1.1418	1.1383	0.7211
184.4764	1.2057	1.1768	0.7187
184.6288	1.2693	1.2342	0.7381
184.7812	1.3423	1.3293	0.7632
184.9336	1.4283	1.4787	0.8524
185.0860	1.5590	1.6881	0.9741
185.2384	1.7761	1.9418	1.2721
185.3908	1.9976	2.2006	1.4321
185.5432	2.0586	2.4177	1.4834
185.6956	2.1027	2.5533	1.5735
185.8480	2.2828	2.5945	1.6015
186.0004	2.3728	2.5699	1.5404
186.1528	2.3692	2.5177	1.4644
186.3052	2.3557	2.4536	1.4130
186.4576	2.2895	2.3833	1.4051
186.6100	2.2306	2.3151	1.4223
186.7624	2.2205	2.2607	1.3803
186.9148	2.2220	2.2371	1.2501
187.0672	2.2273	2.2572	1.2707
187.2196	2.2250	2.3166	1.3032
187.3720	2.2132	2.3941	1.4404
187.5244	2.2237	2.4596	1.5689
187.6768	2.2677	2.4895	1.5624
187.8292	2.3148	2.4875	1.5130
187.9816	2.3392	2.4802	1.4921
188.1340	2.3721	2.4879	1.5250
188.2864	2.3721	2.5153	1.5033
188.4388	2.3718	2.5549	1.4802
188.5912	2.3729	2.5881	1.4742
188.7436	2.3749	2.5982	1.4863
188.8960	2.3699	2.5844	1.5299
189.0484	2.3352	2.5515	1.4622
189.2008	2.2969	2.4998	1.4129
189.3532	2.2535	2.4322	1.4141
189.5056	2.2263	2.3557	1.3965
189.6580	2.1836	2.2819	1.3987
189.8104	2.1282	2.2286	1.3028
189.9628	2.1024	2.2062	1.2543
190.1152	2.0883	2.2078	1.2987
190.2676	2.0352	2.2180	1.3794
190.4200	1.9674	2.2211	1.3878
190.5724	1.9507	2.2000	1.3632
190.7248	1.9377	2.1482	1.2596
190.8772	1.9099	2.0791	1.1899
191.0296	1.8740	2.0109	1.2300
191.1820	1.8389	1.9535	1.1754
191.3344	1.7873	1.9107	1.1807
191.4868	1.7508	1.8807	1.1608
191.6392	1.7319	1.8555	1.1462
191.7916	1.7077	1.8300	1.1762
191.9440	1.6898	1.8058	1.1290
192.0964	1.6822	1.7858	1.1127
192.2488	1.6781	1.7732	1.1096
192.4012	1.6748	1.7732	1.1171
192.5536	1.6751	1.7873	1.1749
192.7060	1.6760	1.8097	1.1981
192.8584	1.6763	1.8333	1.2345
193.0108	1.6866	1.8536	1.1811
193.1632	1.6879	1.8656	1.1429
193.3156	1.6761	1.8646	1.1104
193.4680	1.6594	1.8503	1.0921
193.6204	1.6364	1.8259	1.0999
193.7728	1.6102	1.7942	1.1168
193.9252	1.5906	1.7590	1.0610
194.0776	1.5660	1.7249	1.0537
194.2300	1.5283	1.6921	1.0499
194.3824	1.3989	1.6502	1.0362
194.5348	1.3089	1.5811	1.0451
194.6872	1.2733	1.4770	0.9413
194.8396	1.2224	1.3560	0.8455
194.9920	1.1808	1.2482	0.7419
195.1444	1.1425	1.1713	0.7142
195.2968	1.0656	1.1245	0.7156
195.4492	1.0221	1.0974	0.7564
195.6016	1.0165	1.0802	0.7142
195.7540	1.0138	1.0696	0.6866
195.9064	1.0248	1.0704	0.6850
196.0588	1.0659	1.0897	0.6705
196.2112	1.0780	1.1293	0.7328
196.3636	1.0768	1.1801	0.8671
196.5160	1.0777	1.2231	0.8897
196.6684	1.0828	1.2381	0.8767
196.8208	1.0844	1.2187	0.8441
196.9732	1.0887	1.1790	0.6734
197.1256	1.0654	1.1393	0.6891
197.2780	1.0439	1.1100	0.6917
197.4304	1.0337	1.0913	0.7120
197.5828	1.0239	1.0796	0.7128
197.7352	1.0167	1.0721	0.6672
197.8876	1.0288	1.0704	0.6447
198.0400	1.0426	1.0807	0.6453
198.1924	1.0523	1.1072	0.7093
198.3448	1.0657	1.1453	0.6940
198.4972	1.0802	1.1839	0.7166
198.6496	1.1165	1.2147	0.7674
198.8020	1.1605	1.2389	0.8337
198.9544	1.1790	1.2642	0.8415
199.1068	1.2034	1.2952	0.8762
199.2592	1.2170	1.3277	0.8906
199.4116	1.2308	1.3512	0.8903
199.5640	1.2292	1.3576	0.8730
199.7164	1.2174	1.3457	0.7828
199.8688	1.2083	1.3190	0.7766
200.0212	1.1903	1.2838	0.7574
200.1736	1.1761	1.2482	0.7521
200.3260	1.1536	1.2186	0.7546
200.4784	1.1318	1.1969	0.8225
200.6308	1.1159	1.1809	0.8003
200.7832	1.1048	1.1667	0.7783
200.9356	1.1021	1.1510	0.7015
201.0880	1.1090	1.1356	0.6820
201.2404	1.1295	1.1278	0.6760
201.3928	1.1480	1.1361	0.6915
201.5452	1.1543	1.1642	0.7756
201.6976	1.1636	1.2075	0.8267
201.8500	1.1823	1.2518	0.8440
202.0024	1.2033	1.2796	0.8268
202.1548	1.2159	1.2836	0.7846
202.3072	1.2267	1.2713	0.7075
202.4596	1.2400	1.2559	0.7141
202.6120	1.2603	1.2495	0.7062
202.7644	1.2889	1.2631	0.7714
202.9168	1.3252	1.3044	0.9007
203.0692	1.3532	1.3730	0.9382
203.2216	1.3899	1.4585	0.9495
203.3740	1.4673	1.5442	1.0017
203.5264	1.5711	1.6185	1.0076
203.6788	1.5969	1.6799	1.0205
203.8312	1.5992	1.7273	1.1102
203.9836	1.5798	1.7468	1.1535
204.1360	1.5425	1.7150	1.1161
204.2884	1.5005	1.6281	1.0489
204.4408	1.4809	1.5156	0.8792
204.5932	1.4639	1.4161	0.8223
204.7456	1.4639	1.3566	0.7888
204.8980	1.4620	1.3509	0.7813
205.0504	1.4546	1.4005	0.7916
205.2028	1.4518	1.4888	0.9685
205.3552	1.4625	1.5807	1.0780
205.5076	1.4880	1.6351	1.1123
205.6600	1.5128	1.6301	1.0175
205.8124	1.5046	1.5775	0.9594
205.9648	1.4662	1.5071	0.9427
206.1172	1.4011	1.4395	0.8360
206.2696	1.3516	1.3782	0.8075
206.4220	1.3038	1.3209	0.7213
206.5744	1.2628	1.2679	0.7014
206.7268	1.2246	1.2227	0.6969
206.8792	1.1897	1.1892	0.7301
207.0316	1.1646	1.1683	0.7037
207.1840	1.1556	1.1569	0.7326
207.3364	1.1510	1.1506	0.7292
207.4888	1.1494	1.1470	0.7195
207.6412	1.1557	1.1468	0.7014
207.7936	1.1596	1.1522	0.7158
207.9460	1.1643	1.1642	0.7086
208.0984	1.1731	1.1809	0.7026
208.2508	1.1757	1.1980	0.7274
208.4032	1.1779	1.2096	0.7379
208.5556	1.1820	1.2116	0.7392
208.7080	1.1833	1.2041	0.7264
208.8604	1.1770	1.1903	0.6896
209.0128	1.1632	1.1744	0.6783
209.1652	1.1553	1.1600	0.6817
209.3176	1.1526	1.1493	0.6824
