HOLE:	U1352B
EXPEDITION:	317
TOP:	398.5752
BOTTOM:	470.9652
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
433.3224	92.4836	-0.4338	34.8115	406.3992	2314.6270
433.4748	91.8391	-0.4195	36.1196	384.3626	2283.8997
433.6272	91.8751	-0.4191	37.5469	379.2399	2308.9824
433.7796	95.3028	-0.3369	37.1642	376.7663	2313.4468
433.9320	98.8137	-0.1411	36.5939	399.1664	2347.4995
434.0844	96.9820	-0.3415	34.5312	400.5800	2334.4392
434.2368	92.3896	-0.4214	33.7298	381.8312	2305.4634
434.3892	89.9210	-0.3369	33.5898	435.8786	2343.2590
434.5416	93.3960	-0.4381	35.1949	460.1205	2321.4995
434.6940	88.2765	-0.2667	36.0538	385.0735	2313.1995
434.8464	74.2602	0.5547	35.4210	402.2428	2382.0767
434.9988	60.3123	0.9178	34.2444	434.0000	2504.0000
435.1512	57.3102	0.7610	33.5273	467.1877	2440.1013
435.3036	58.7534	0.9335	32.2493	453.7610	2467.9592
435.4560	60.8715	0.8999	32.0323	459.8182	2472.8740
435.6084	60.9782	0.7119	32.6973	475.4033	2498.5652
435.7608	59.7160	0.9131	31.8235	460.2692	2539.5447
435.9132	66.2255	0.8180	33.3158	434.9596	2515.5439
436.0656	78.3951	0.3228	34.0546	420.8838	2457.4604
436.2180	84.5189	-0.0442	34.2917	456.5459	2484.9573
436.3704	81.7047	0.1342	35.3803	455.3785	2515.4346
436.5228	67.6388	0.3656	36.0074	472.2248	2430.9697
436.6752	58.1788	0.3767	36.2915	484.3203	2532.3828
436.8276	52.0161	0.3421	35.2242	467.2936	2564.9827
436.9800	55.1382	0.1319	35.0883	493.9937	2598.6902
437.1324	56.3983	0.0301	34.3113	488.1502	2622.1201
437.2848	57.4883	0.0557	34.3681	498.1300	2584.1619
437.4372	56.8956	0.1212	32.0945	521.5441	2581.3269
437.5896	56.4986	0.1338	31.9100	492.2499	2577.3740
437.7420	55.1015	0.1629	32.4856	470.6127	2620.1667
437.8944	53.4640	0.2975	32.6542	482.3042	2568.9607
438.0468	50.8837	0.3076	31.6303	469.6439	2611.2930
438.1992	50.9121	0.3666	33.1111	472.8324	2575.0569
438.3516	52.5276	0.4273	33.6137	484.0338	2574.1455
438.5040	55.7075	0.5738	33.0175	483.3600	2584.8501
438.6564	57.5983	0.6522	32.0083	484.0516	2527.2639
438.8088	58.3449	0.6096	32.1663	478.3695	2502.7200
438.9612	56.6818	0.4961	31.5129	479.1495	2506.9343
439.1136	56.4093	0.3276	32.1920	486.8358	2514.2336
439.2660	56.0617	0.2392	32.1962	490.9243	2531.4233
439.4184	54.5450	0.2471	32.9569	475.8411	2530.0442
439.5708	53.7421	0.1804	33.0476	471.0798	2563.1321
439.7232	54.4757	0.0636	33.2574	491.3866	2593.3354
439.8756	56.4566	0.0308	32.4242	477.7736	2607.3589
440.0280	57.3795	0.0753	32.2093	509.0313	2609.1169
440.1804	55.3569	0.0269	32.3312	498.3827	2594.8560
440.3328	50.5923	0.1228	31.8150	489.7102	2565.2856
440.4852	45.7240	0.2538	31.1859	520.8648	2592.8181
440.6376	46.2177	0.2099	30.8637	555.4581	2613.1543
440.7900	50.3789	-0.0355	30.8905	525.3705	2576.4175
440.9424	49.3661	-0.0459	30.1258	500.7755	2600.9150
441.0948	46.1462	0.0512	28.9216	523.2933	2660.0608
441.2472	45.0425	0.0566	28.1556	552.9186	2682.7754
441.3996	45.8204	0.0826	28.2774	547.6182	2709.4043
441.5520	46.4770	0.1314	28.4445	542.4866	2718.3215
441.7044	45.3457	0.1676	28.0524	535.4582	2642.8474
441.8568	44.7462	0.1465	28.9122	545.2806	2644.4915
442.0092	44.7226	0.1099	30.2685	556.6448	2686.9163
442.1616	45.8939	0.0130	30.2208	569.7396	2715.9868
442.3140	45.7737	-0.0324	28.8069	587.1177	2695.5427
442.4664	42.3480	0.0843	27.0942	574.3414	2664.8972
442.6188	43.0417	0.1725	25.3483	566.7247	2692.0715
442.7712	48.0366	0.1736	24.4255	560.9406	2631.5557
442.9236	47.3670	0.3411	24.3177	530.2255	2611.5105
443.0760	38.1150	0.9984	22.5016	487.2716	2691.2517
443.2284	33.7498	1.2692	23.0027	463.2477	2659.3025
443.3808	44.9274	0.7557	27.4295	480.5105	2541.1782
443.5332	51.7608	0.5114	29.4807	494.9241	2486.6519
443.6856	48.3509	0.5425	28.8241	501.6456	2515.9990
443.8380	47.9753	0.4761	28.5602	519.8329	2523.7847
443.9904	49.5123	0.4159	28.6982	520.2722	2522.1650
444.1428	46.9501	0.4298	27.8409	526.4935	2563.8247
444.2952	40.5154	0.5478	25.8175	543.0656	2603.7605
444.4476	40.6389	0.5371	24.6181	533.9802	2616.8491
444.6000	42.4226	0.4373	24.9682	530.1428	2617.9028
444.7524	42.2074	0.4404	24.5276	552.7723	2616.6201
444.9048	40.2094	0.4436	23.7860	559.2079	2588.7520
445.0572	38.5695	0.4443	24.2129	538.7907	2580.8591
445.2096	35.3483	0.5896	24.1933	550.6124	2597.1409
445.3620	31.9164	0.8418	23.3534	552.5804	2622.8445
445.5144	32.8821	0.8731	23.1177	545.4199	2602.6450
445.6668	37.2609	0.5702	23.9694	545.7525	2597.3323
445.8192	37.8840	0.4764	23.5116	544.6962	2596.0698
445.9716	39.5228	0.2485	23.3493	544.2941	2601.5137
446.1240	38.5804	0.1984	22.5179	534.9491	2633.1648
446.2764	38.8197	0.1356	22.4392	551.5948	2703.2073
