HOLE:	U1352B
EXPEDITION:	317
TOP:	125.0168
BOTTOM:	439.4180
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
144.9812	0.196916	0.063587	-0.492450	0.534349	-67.7883	336.9971	6.4272	29.4313	-0.0932	-0.0043	9.6723	0.6023
145.1336	0.199613	0.049933	-0.493182	0.534348	-67.7902	337.6305	8.1965	30.5672	-0.0803	-0.0367	9.8596	0.5962
145.2860	0.197001	0.061459	-0.493125	0.534350	-67.8042	339.0509	8.6270	29.5770	-0.0687	0.0049	9.9131	0.6091
145.4384	0.197887	0.059511	-0.492717	0.534358	-67.7954	338.4781	7.4691	28.9920	-0.0461	-0.0663	9.4050	0.6085
145.5908	0.198087	0.061144	-0.492633	0.534377	-67.7919	339.7794	7.1798	27.4015	-0.1024	-0.0561	10.0949	0.6337
145.7432	0.198916	0.059959	-0.492418	0.534394	-67.7859	341.4158	7.3622	25.9475	-0.0851	-0.0524	9.8389	0.6601
145.8956	0.197438	0.062707	-0.492522	0.534420	-67.7855	342.1887	7.0691	24.8816	-0.0965	-0.0659	10.0204	0.6904
146.0480	0.198276	0.061204	-0.492656	0.534440	-67.7857	343.0989	6.7549	23.6572	-0.1127	-0.0180	9.7230	0.7089
146.2004	0.197932	0.061053	-0.492511	0.534457	-67.7794	344.5078	6.8981	22.3914	-0.1217	-0.0341	9.6498	0.7229
146.3528	0.198315	0.061039	-0.492517	0.534489	-67.7753	345.8239	6.6552	20.8325	-0.0241	-0.1124	9.7259	0.7532
146.5052	0.197746	0.069039	-0.491786	0.534512	-67.7685	345.6520	5.7551	20.1043	-0.1335	-0.1076	9.7148	0.7824
146.6576	0.196246	0.072985	-0.491846	0.534518	-67.7720	346.2327	4.3191	18.0878	-0.1352	0.0332	10.0185	0.8271
146.8100	0.194732	0.083078	-0.490799	0.534529	-67.7743	344.9292	1.1204	16.1929	-0.1801	-0.0639	9.8984	0.8709
146.9624	0.194904	0.083152	-0.490726	0.534532	-67.7782	346.0505	0.6759	14.6269	-0.2085	-0.0507	9.8331	0.9066
147.1148	0.194558	0.081827	-0.491357	0.534538	-67.7820	347.4538	0.6846	13.2326	-0.1151	-0.0672	10.0164	0.9390
147.2672	0.195242	0.076469	-0.491467	0.534532	-67.7843	349.6400	1.9598	12.3212	-0.1841	-0.0183	9.8372	0.9747
147.4196	0.194026	0.082100	-0.491415	0.534520	-67.7888	350.6891	1.7799	11.0923	-0.1022	0.0181	9.4423	1.0067
147.5720	0.195453	0.082440	-0.490954	0.534524	-67.7884	349.1986	0.3023	11.1053	-0.1674	0.1123	9.5105	1.0177
147.7244	0.205436	0.046451	-0.491478	0.534532	-67.7948	355.3153	5.5786	10.2641	-0.0455	0.1814	9.7184	1.0403
147.8768	0.206085	0.048579	-0.490701	0.534533	-67.7902	1.2691	10.9093	9.6397	-0.1567	-0.0193	9.9411	1.0498
148.0292	0.205703	0.046944	-0.491175	0.534530	-67.7977	0.9802	10.3955	9.4150	-0.1123	0.0366	9.9360	1.0685
148.1816	0.210035	0.024065	-0.490660	0.534525	-67.7981	6.6161	15.8085	9.1914	-0.2713	0.0631	9.7128	1.0648
148.3340	0.211274	0.003984	-0.490836	0.534529	-67.8084	9.6957	18.6208	8.9235	-0.2940	0.1151	9.6861	1.0710
148.4864	0.208767	-0.039940	-0.490290	0.534534	-67.8044	24.7682	33.1154	8.3436	-0.2208	-0.1094	9.5494	1.0598
148.6388	0.208198	-0.023823	-0.491317	0.534552	-67.7995	23.6938	31.7620	8.0645	-0.1945	0.0628	9.9661	1.0657
148.7912	0.208618	0.000672	-0.491830	0.534563	-67.8014	18.9201	26.7452	7.8218	-0.1821	-0.0550	9.8690	1.0761
148.9436	0.205555	0.038721	-0.491820	0.534566	-67.8037	8.3114	16.0920	7.7792	-0.1888	-0.0137	9.9212	1.0716
149.0960	0.204269	0.051723	-0.491325	0.534573	-67.8036	3.6105	10.5840	6.9728	-0.1508	-0.0091	9.8922	1.0738
149.2484	0.203709	0.052302	-0.491293	0.534593	-67.7962	1.7755	9.0111	7.2355	-0.1858	0.0176	9.8414	1.0628
149.4008	0.203703	0.052890	-0.491291	0.534607	-67.7868	1.7561	8.8585	7.1021	-0.1510	0.0163	9.7553	1.0522
149.5532	0.198070	0.073188	-0.491142	0.534629	-67.7682	359.5727	6.2950	6.7224	-0.1930	-0.0506	9.6453	1.0348
149.7056	0.191199	0.089341	-0.491469	0.534638	-67.7695	353.0266	359.1514	6.1257	-0.2061	-0.0149	9.9383	1.0369
