HOLE:	U1352B
EXPEDITION:	317
TOP:	102.0048
BOTTOM:	465.4788
DEPTH_WMSF	LCAL
m	in
195.2736	18.7881
195.4260	18.8075
195.5784	18.8131
195.7308	18.7964
195.8832	18.7715
196.0356	18.7988
196.1880	18.8186
196.3404	18.8325
196.4928	18.8269
196.6452	18.8297
196.7976	18.8242
196.9500	18.8214
197.1024	18.8269
197.2548	18.8214
197.4072	18.8242
197.5596	18.8242
197.7120	18.8186
197.8644	18.8214
198.0168	18.8297
198.1692	18.8519
198.3216	18.8408
198.4740	18.8352
198.6264	18.8242
198.7788	18.8436
198.9312	18.8622
199.0836	18.8325
199.2360	18.8242
199.3884	18.8242
199.5408	18.8297
199.6932	18.8325
199.8456	18.8297
199.9980	18.8297
200.1504	18.8242
200.3028	18.8242
200.4552	18.8352
200.6076	18.8269
200.7600	18.8242
200.9124	18.8214
201.0648	18.8297
201.2172	18.8214
201.3696	18.8242
201.5220	18.8337
201.6744	18.8325
201.8268	18.8269
201.9792	18.8214
202.1316	18.8269
202.2840	18.8269
202.4364	18.8186
202.5888	18.8269
202.7412	18.8178
202.8936	18.8242
203.0460	18.8075
203.1984	18.7992
203.3508	18.8131
203.5032	18.7853
203.6556	18.8131
203.8080	18.7909
203.9604	18.7992
204.1128	18.8519
204.2652	18.8103
204.4176	18.7604
204.5700	18.7830
204.7224	18.8048
204.8748	18.7826
205.0272	18.7964
205.1796	18.8020
205.3320	18.8020
205.4844	18.7743
205.6368	18.7909
205.7892	18.8048
205.9416	18.7964
206.0940	18.7481
206.2464	18.7354
206.3988	18.7853
206.5512	18.8158
206.7036	18.8242
206.8560	18.8158
207.0084	18.8131
207.1608	18.8214
207.3132	18.8158
207.4656	18.8214
207.6180	18.8075
207.7704	18.7988
207.9228	18.8075
208.0752	18.8158
208.2276	18.7992
208.3800	18.7493
208.5324	18.7743
208.6848	18.8075
208.8372	18.8103
208.9896	18.7798
209.1420	18.7770
209.2944	18.8075
209.4468	18.8147
209.5992	18.8214
209.7516	18.8214
209.9040	18.8186
210.0564	18.8186
210.2088	18.8186
210.3612	18.8214
210.5136	18.8131
210.6660	18.8269
210.8184	18.8325
210.9708	18.8305
211.1232	18.8242
211.2756	18.8325
211.4280	18.8297
211.5804	18.8242
211.7328	18.8269
211.8852	18.8242
212.0376	18.8242
212.1900	18.8020
212.3424	18.8083
212.4948	18.8824
212.6472	18.8186
212.7996	18.7964
212.9520	18.7438
213.1044	18.7992
213.2568	18.8158
213.4092	18.7964
213.5616	18.7576
213.7140	18.7743
213.8664	18.7671
214.0188	18.7992
214.1712	18.8048
214.3236	18.8075
214.4760	18.8020
214.6284	18.8020
214.7808	18.8158
214.9332	18.8214
215.0856	18.8186
215.2380	18.8214
215.3904	18.8103
215.5428	18.8048
215.6952	18.7743
215.8476	18.7576
216.0000	18.7659
216.1524	18.7604
216.3048	18.7937
216.4572	18.8131
216.6096	18.8131
216.7620	18.8131
216.9144	18.8158
217.0668	18.8048
217.2192	18.8131
217.3716	18.8103
217.5240	18.8210
217.6764	18.8242
