HOLE:	U1507B
EXPEDITION:	371
TOP:	70.0704
BOTTOM:	842.8910
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
103.1412	167.4073	568.7317	533.499	1.8207	0.5359	0.5713
103.2936	166.9214	563.8153	527.1869	1.8260	0.5406	0.5782
103.4460	167.9813	565.4655	520.747	1.8145	0.5390	0.5853
103.5984	168.1802	595.8284	517.2202	1.8123	0.5116	0.5893
103.7508	169.186	603.2312	516.6189	1.8016	0.5053	0.5900
103.9032	170.7885	604.2488	522.6713	1.7847	0.5044	0.5832
104.0556	171.088	605.4837	525.3823	1.7815	0.5034	0.5801
104.2080	171.4082	604.8646	523.0052	1.7782	0.5039	0.5828
104.3604	171.6991	605.3905	524.0926	1.7752	0.5035	0.5816
104.5128	172.0224	605.4798	523.5774	1.7719	0.5034	0.5821
104.6652	172.7486	605.3661	523.5231	1.7644	0.5035	0.5822
104.8176	173.6544	605.8588	523.2693	1.7552	0.5031	0.5825
104.9700	174.5937	617.2887	536.5248	1.7458	0.4938	0.5681
105.1224	174.6611	654.0136	614.5851	1.7451	0.4660	0.4959
105.2748	173.7685	653.7209	628.0187	1.7541	0.4663	0.4853
105.4272	173.8426	650.6033	635.3663	1.7533	0.4685	0.4797
105.5796	172.0272	650.3215	636.025	1.7718	0.4687	0.4792
105.7320	171.5335	650.1155	635.702	1.7769	0.4688	0.4795
105.8844	171.2025	649.9989	636.8979	1.7803	0.4689	0.4786
106.0368	171.413	650.5333	641.9664	1.7782	0.4685	0.4748
106.1892	170.9915	652.2463	623.764	1.7825	0.4673	0.4886
106.3416	171.917	651.0153	612.7501	1.7729	0.4682	0.4974
106.4940	171.9725	651.1626	625.5672	1.7724	0.4681	0.4872
106.6464	172.9662	650.9337	627.2761	1.7622	0.4683	0.4859
106.7988	173.1063	650.7386	628.276	1.7608	0.4684	0.4851
106.9512	173.0503	651.0938	627.4925	1.7613	0.4681	0.4857
107.1036	172.0538	642.6118	631.2933	1.7715	0.4743	0.4828
107.2560	172.51	616.472	639.1835	1.7669	0.4944	0.4769
107.4084	170.7377	630.9951	649.8216	1.7852	0.4830	0.4691
107.5608	170.7695	634.9536	646.0503	1.7849	0.4800	0.4718
107.7132	170.8993	635.369	645.7288	1.7835	0.4797	0.4720
107.8656	172.1803	635.4204	645.5659	1.7702	0.4797	0.4721
108.0180	171.5767	635.36	645.479	1.7765	0.4797	0.4722
108.1704	173.2763	635.6392	644.921	1.7590	0.4795	0.4726
108.3228	173.3551	636.4982	647.2325	1.7582	0.4789	0.4709
108.4752	172.9245	630.584	651.0937	1.7626	0.4834	0.4681
108.6276	170.7547	606.4946	615.3433	1.7850	0.5026	0.4953
108.7800	171.2608	569.5941	584.7697	1.7797	0.5351	0.5212
108.9324	171.1051	583.0509	619.9044	1.7814	0.5228	0.4917
109.0848	171.0511	584.8375	626.3859	1.7819	0.5212	0.4866
109.2372	169.9628	584.9905	626.5693	1.7933	0.5210	0.4865
109.3896	169.7086	586.4178	629.0218	1.7960	0.5198	0.4846
109.5420	169.7225	592.2194	633.9013	1.7959	0.5147	0.4808
109.6944	169.474	604.9	640.5345	1.7985	0.5039	0.4759
109.8468	169.3247	606.438	643.0611	1.8001	0.5026	0.4740
109.9992	170.2923	613.8088	657.7347	1.7899	0.4966	0.4634
110.1516	169.4927	576.664	627.9207	1.7983	0.5286	0.4854
110.3040	168.9503	554.1282	578.6067	1.8041	0.5501	0.5268
110.4564	169.632	539.9547	562.4309	1.7968	0.5645	0.5419
110.6088	169.4096	539.1039	555.7187	1.7992	0.5654	0.5485
110.7612	169.4642	539.8066	543.8032	1.7986	0.5646	0.5605
110.9136	168.0519	542.0692	544.8774	1.8137	0.5623	0.5594
111.0660	168.7	550.2919	556.7535	1.8068	0.5539	0.5475
111.2184	170.1118	566.7209	575.2581	1.7918	0.5378	0.5298
111.3708	170.2252	580.1959	596.3502	1.7906	0.5253	0.5111
111.5232	170.2532	595.5469	611.0536	1.7903	0.5118	0.4988
111.6756	170.0268	600.9323	629.3268	1.7927	0.5072	0.4843
111.8280	169.7457	594.6387	625.8555	1.7956	0.5126	0.4870
111.9804	169.9613	589.3627	626.5466	1.7933	0.5172	0.4865
112.1328	169.0942	591.5716	625.3434	1.8025	0.5152	0.4874
112.2852	168.848	592.5173	623.2668	1.8052	0.5144	0.4890
112.4376	168.9967	592.9571	622.3425	1.8036	0.5140	0.4898
112.5900	169.4795	596.7335	615.4738	1.7984	0.5108	0.4952
112.7424	170.7702	601.5877	607.8239	1.7849	0.5067	0.5015
112.8948	170.3487	588.4979	590.6426	1.7893	0.5179	0.5160
113.0472	169.7182	586.8422	600.1638	1.7959	0.5194	0.5079
113.1996	169.6156	591.4885	604.5278	1.7970	0.5153	0.5042
113.3520	169.507	593.5943	606.2523	1.7982	0.5135	0.5028
113.5044	169.4797	593.8145	606.3157	1.7984	0.5133	0.5027
