HOLE:	U1351B
EXPEDITION:	317
TOP:	873.0352
BOTTOM:	1008.9760
DEPTH_WMSF	RHOM	DRH	PEFL	NRHB
m	g/cm3	g/cm3	barns/e-	g/cm3
909.0016	1.2953	0.0175	1.9448	1.2953
909.1540	1.2990	0.0181	1.9758	1.2990
909.3064	1.2929	0.0179	1.9757	1.2929
909.4588	1.2805	0.0188	1.9637	1.2805
909.6112	1.3514	0.0362	2.0299	1.3514
909.7636	1.4526	0.0450	2.2476	1.4526
909.9160	1.5657	0.0571	2.4184	1.5657
910.0684	1.5893	0.0608	2.3559	1.5893
910.2208	1.5904	0.0600	2.3069	1.5904
910.3732	1.5176	0.0338	2.1161	1.5176
910.5256	1.3940	0.0184	2.0156	1.3940
910.6780	1.4014	0.0269	1.9657	1.4014
910.8304	1.3934	0.0269	2.0862	1.3934
910.9828	1.4391	0.0262	2.1790	1.4391
911.1352	1.3941	0.0226	2.1680	1.3941
911.2876	1.4072	0.0229	2.1311	1.4072
911.4400	1.4031	0.0122	2.0935	1.4031
911.5924	1.4596	0.0155	1.9684	1.4596
911.7448	1.5469	0.0208	1.7757	1.5469
911.8972	1.6920	0.0363	1.6187	1.6920
912.0496	1.7613	0.0504	1.6696	1.7613
912.2020	1.7921	0.0563	1.7307	1.7921
912.3544	1.8539	0.0638	2.0132	1.8539
912.5068	1.9703	0.0856	2.3970	1.9703
912.6592	2.0876	0.1080	3.0236	2.0876
912.8116	2.1581	0.1126	2.9861	2.1581
912.9640	2.1655	0.1074	2.8975	2.1655
913.1164	2.1588	0.1084	2.8571	2.1588
913.2688	2.1528	0.1072	2.8682	2.1528
913.4212	2.1502	0.1113	2.8125	2.1502
913.5736	2.1623	0.1222	2.6295	2.1623
913.7260	2.1719	0.1050	2.4842	2.1719
913.8784	2.1681	0.0932	2.5519	2.1681
914.0308	2.1543	0.1082	2.6820	2.1543
914.1832	2.1065	0.1143	2.7909	2.1065
914.3356	2.1111	0.1126	2.8363	2.1111
914.4880	2.1935	0.1433	2.9119	2.1935
914.6404	2.2713	0.1621	2.9919	2.2713
914.7928	2.2480	0.1275	2.9845	2.2480
914.9452	2.2024	0.0885	2.9413	2.2024
915.0976	2.1770	0.0858	2.8635	2.1770
915.2500	2.1763	0.0908	2.8288	2.1763
915.4024	2.1775	0.0899	2.8672	2.1775
915.5548	2.2005	0.0985	2.8764	2.2005
915.7072	2.1967	0.1055	2.9462	2.1967
915.8596	2.1654	0.0912	2.8982	2.1654
916.0120	2.1470	0.0839	2.9307	2.1470
916.1644	2.1474	0.0899	2.8926	2.1474
916.3168	2.1310	0.1014	2.9614	2.1310
916.4692	2.0762	0.1210	2.9815	2.0762
916.6216	1.9780	0.1367	3.0018	1.9780
916.7740	1.9192	0.1627	2.9801	1.9192
916.9264	1.9068	0.2013	2.7886	1.9068
917.0788	1.9620	0.2192	2.6104	1.9620
917.2312	2.0168	0.1830	2.3941	2.0168
917.3836	2.1320	0.1594	2.5052	2.1320
917.5360	2.2034	0.1305	2.7314	2.2034
917.6884	2.2224	0.1168	3.0050	2.2224
917.8408	2.2502	0.1317	3.1952	2.2502
917.9932	2.2427	0.1398	3.1350	2.2427
918.1456	2.2288	0.1601	2.9568	2.2288
918.2980	2.1993	0.1842	2.8231	2.1993
918.4504	2.1253	0.1676	2.6950	2.1253
918.6028	2.0792	0.1554	2.6505	2.0792
918.7552	2.0773	0.1590	2.6905	2.0773
918.9076	2.0970	0.1596	2.8131	2.0970
919.0600	2.1249	0.1641	2.8611	2.1249
919.2124	2.1410	0.1661	2.7834	2.1410
919.3648	2.1374	0.1614	2.7792	2.1374
919.5172	2.1332	0.1637	2.7660	2.1332
919.6696	2.1573	0.1760	2.7599	2.1573
919.8220	2.1885	0.1757	2.7374	2.1885
919.9744	2.2295	0.1752	2.7477	2.2295
920.1268	2.2426	0.1612	2.7894	2.2426
920.2792	2.2187	0.1389	2.7983	2.2187
920.4316	2.1836	0.1219	2.8087	2.1836
920.5840	2.1477	0.1137	2.8432	2.1477
920.7364	2.1263	0.1120	2.8176	2.1263
920.8888	2.1284	0.1237	2.7906	2.1284
