HOLE:	U1351B
EXPEDITION:	317
TOP:	0.0892
BOTTOM:	968.4388
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2
9.3856	0.093313	-0.162383	-0.298217	0.331207	-66.6429	84.3575	73.2356	348.8802	-0.0385	-0.0793	9.8855
9.5380	0.127000	-0.104260	-0.289961	0.328172	-64.9922	101.1651	73.1883	332.0212	-0.1192	-0.0950	9.9380
9.6904	0.063025	-0.065298	-0.285780	0.324699	-64.4624	210.0925	34.3154	179.0329	-0.0857	-0.1763	9.8149
9.8428	0.094458	0.061752	-0.256456	0.315900	-62.6873	154.6251	324.4915	169.8676	-0.0361	0.0071	9.7629
9.9952	0.052529	0.098996	-0.316030	0.302768	-61.4488	151.9978	332.9367	180.9366	-0.0581	-0.0410	9.7322
10.1476	0.033933	0.084570	-0.286046	0.293574	-60.5952	89.7095	269.2540	179.5457	0.0013	-0.0650	9.8371
10.3000	-0.071972	0.049020	-0.259949	0.283866	-57.7495	61.6486	229.6950	168.0566	-0.0021	-0.0711	9.8603
10.4524	-0.131253	0.024632	-0.305718	0.263940	-54.2567	150.0999	200.0510	49.9509	-0.0096	-0.1545	9.7755
10.6048	-0.273760	-0.064956	-0.303356	0.242731	-50.5645	150.3412	182.6317	32.2905	0.0027	-0.1048	9.8151
10.7572	-0.266819	-0.136444	-0.250495	0.204829	-41.3638	189.7983	165.4041	335.6056	-0.0284	-0.0470	9.8449
10.9096	-0.124192	-0.195468	-0.275056	0.173884	-28.7126	149.0829	116.2838	327.2003	-0.0685	-0.0129	9.8391
11.0620	0.088969	-0.190210	-0.214865	0.163280	-20.8569	125.8491	79.7224	313.8737	-0.0572	-0.1133	9.8583
11.2144	0.070648	-0.100631	-0.088293	0.155941	-10.9505	160.7048	107.4308	306.7263	-0.0159	-0.0979	9.8787
11.3668	-0.042691	-0.005374	-0.163019	0.155928	-0.4417	297.5299	231.2257	293.6958	0.0900	-0.0887	9.8802
11.5192	-0.081374	0.073746	-0.080585	0.167649	8.3170	24.2428	252.6048	232.0274	0.0642	-0.1533	9.8983
11.6716	-0.139471	0.169230	0.105629	0.184440	16.0826	72.8378	266.8871	194.0491	-0.0088	-0.0867	9.9509
11.8240	-0.030948	0.054794	0.128222	0.192127	21.1429	37.0845	195.4009	158.3160	0.0105	-0.0023	9.9155
11.9764	-0.322172	-0.063937	0.370711	0.211159	22.3756	67.2321	210.0362	142.8044	-0.0445	-0.0297	10.0163
12.1288	-0.062632	0.032340	0.834143	0.260454	36.7158	174.9055	322.6458	147.7487	-0.0082	-0.0489	9.9725
12.2812	0.147248	0.061527	0.190207	0.289360	45.5304	331.0478	139.3064	160.8997	0.0040	-0.0147	9.8726
12.4336	-0.112773	-0.063464	0.171138	0.284281	46.8494	90.3376	161.7614	79.5256	-0.0033	0.0655	9.9238
12.5860	-0.021094	-0.112967	0.201718	0.273687	44.5024	39.7324	83.0648	43.3408	-0.0654	-0.0590	9.9924
12.7384	0.188036	-0.081407	0.124175	0.264773	40.6936	326.2627	40.8115	64.9696	0.0003	-0.0026	9.8337
12.8908	0.306182	-0.048110	0.289199	0.245605	35.2260	273.0488	21.5042	108.4577	0.0726	-0.1139	9.8038
13.0432	0.224277	0.078580	-0.109080	0.220275	26.2635	227.3086	349.7982	122.4885	0.0558	-0.1643	9.8577
13.1956	0.256639	0.205603	-0.380552	0.203257	13.7642	162.8596	277.0717	114.2117	-0.0992	0.0346	9.8519
13.3480	-0.406190	0.533029	1.182202	0.203651	-6.6772	178.8526	284.8292	105.9766	-0.0600	0.0006	9.7970
13.5004	0.057699	0.179523	1.066230	0.231757	-23.7859	292.6118	58.7269	112.8459	0.0336	-0.0220	9.8312
13.6528	-0.005839	-0.022949	0.003254	0.256757	-31.7790	128.5230	231.0551	116.5265	0.1056	-0.1021	9.8194
13.8052	-0.036848	0.086660	-0.314496	0.282294	-38.4259	149.7797	258.9631	109.1848	0.2221	-0.1931	9.7751
13.9576	-0.060311	-0.046836	-0.409089	0.305929	-44.0737	76.4043	179.1299	102.7256	0.0167	-0.0290	9.8037
