HOLE:	U1351B
EXPEDITION:	317
TOP:	0.0886
BOTTOM:	486.3970
DEPTH_WMSF	FX	FY	FZ	FNOR	FINC	RB	P1AZ	HAZI	AX	AY	AZ	DEVI
m	oer	oer	oer	oer	deg	deg	deg	deg	m/s2	m/s2	m/s2	deg
10.1470	0.114903	-0.019990	-0.852630	0.778720	-74.7741	229.2883	46.4432	177.1518	-0.1212	-0.0296	9.9254	0.2130
10.2994	0.172019	-0.093212	-1.077584	0.675496	-69.6735	170.2112	101.3045	192.8179	-0.1531	-0.0134	9.8599	0.2064
10.4518	0.148125	0.146082	-1.181493	0.577078	-63.4558	80.9946	286.6913	205.6968	-0.1214	-0.0445	9.7840	0.1841
10.6042	-0.094449	0.137525	-1.181592	0.498526	-54.3117	78.7716	200.1958	220.0949	-0.1257	-0.0099	9.8239	0.1860
10.7566	-0.224787	-0.170410	-1.181400	0.436834	-43.2316	278.1370	153.4603	235.3099	-0.1241	-0.0205	9.9624	0.2214
10.9090	-0.193099	-0.322664	-1.181226	0.407884	-36.1813	256.3542	145.1307	248.7764	-0.1283	-0.0191	10.0480	0.2790
11.0614	-0.065012	-0.170501	-0.498647	0.395323	-30.1230	188.3790	183.1933	255.5504	-0.1145	-0.0235	9.9537	0.3217
11.2138	-0.170339	0.150151	-0.209138	0.408765	-16.3263	18.9509	271.1504	252.2122	-0.1085	-0.0447	9.8062	0.3345
11.3662	-0.092757	0.263604	-1.126805	0.479971	-0.5776	41.0608	283.6744	242.6132	-0.1111	-0.0315	9.7906	0.3618
11.5186	-0.506489	0.351639	1.183292	0.571635	11.6216	2.6175	240.0944	237.4768	-0.1282	-0.0253	9.9134	0.4316
11.6710	-0.283064	0.350553	1.183426	0.635275	19.7747	4.5587	238.4739	233.9150	-0.1381	-0.0299	10.0386	0.4953
11.8234	-0.575649	0.196971	1.183376	0.670080	22.6533	348.4949	219.6030	231.1087	-0.1061	-0.0504	9.9964	0.5238
11.9758	-0.556975	0.113212	1.183329	0.715466	23.3460	355.8629	229.3957	233.5328	-0.0995	-0.0532	9.8748	0.5292
12.1282	-0.412420	0.257647	0.677763	0.769141	25.8114	17.7710	253.6584	235.8867	-0.1097	-0.0336	9.8232	0.5498
12.2806	-0.199644	0.370922	0.228756	0.852576	31.3503	3.2025	242.2382	239.0356	-0.0978	-0.0359	9.8814	0.5748
12.4330	-0.717786	0.393112	0.662959	0.850089	29.4835	309.3053	193.5440	244.2400	-0.1224	-0.0398	9.9483	0.5761
12.5854	-1.200278	-0.667778	1.074888	0.826295	26.7931	277.6090	162.8510	245.2425	-0.1283	-0.0575	9.9360	0.5605
12.7378	-1.200744	-1.153198	1.097836	0.822366	22.5017	284.1836	169.8989	245.7159	-0.1154	-0.0547	9.8474	0.5628
12.8902	-0.937334	-0.480603	0.842376	0.844605	12.0536	312.8792	200.7565	247.8786	-0.1110	-0.0653	9.8214	0.5531
13.0426	-0.425063	-0.043174	-0.248970	0.899704	5.0066	319.3896	209.3794	249.9911	-0.1209	-0.0542	9.8824	0.5449
13.1950	-0.651076	0.291225	-0.734615	0.958833	2.9495	320.6596	214.0967	253.4379	-0.1084	-0.0596	9.9532	0.5390
13.3474	-0.916325	0.136893	-0.624578	1.024910	3.0059	277.1175	173.5013	256.3842	-0.1126	-0.0567	9.9747	0.5316
13.4998	-0.611809	-0.942833	0.418481	1.071313	4.9842	286.1188	184.8245	258.7056	-0.1085	-0.0702	9.9516	0.5016
13.6522	-0.492978	0.202608	-0.063422	1.081926	2.6960	355.8757	258.4204	262.5449	-0.0980	-0.0740	9.9063	0.4408
13.8046	-0.017897	0.216775	-1.169501	1.052999	-3.6481	6.1451	276.9364	270.7911	-0.1021	-0.0766	9.8812	0.3835
13.9570	-0.172383	0.436090	-1.169841	1.026574	-11.0337	341.5332	259.9997	278.4667	-0.1024	-0.0670	9.8819	0.3396
14.1094	-1.126013	1.218580	-1.171181	1.030189	-18.6206	329.0262	251.2629	282.2366	-0.1097	-0.0658	9.9166	0.2964
14.2618	-1.126326	1.218628	-1.086659	1.092005	-23.0243	325.1105	251.2016	286.0911	-0.1097	-0.0761	9.9450	0.2347
14.4142	-1.132185	1.219617	0.478919	1.169413	-23.5169	314.6446	251.1953	296.5512	-0.1038	-0.0737	9.9113	0.1682
14.5666	-1.134279	1.219962	1.039936	1.200825	-24.0265	305.6647	260.1094	314.4392	-0.0951	-0.0757	9.8660	0.1306
14.7190	-0.747818	1.218209	1.182264	1.218786	-26.1914	224.5586	301.3865	332.7888	-0.0983	-0.0749	9.8513	0.1832
14.8714	0.344275	0.695210	0.587266	1.296823	-30.0128	14.5954	350.9344	336.3384	-0.0955	-0.0718	9.8816	0.2356
15.0238	0.421028	0.278940	-1.122501	1.352736	-29.2036	25.5655	6.5610	340.9949	-0.0987	-0.0823	9.9251	0.2415
15.1762	0.636787	0.050705	-1.122148	1.322035	-25.6704	60.9267	48.3484	347.4213	-0.0979	-0.0876	9.9258	0.2221
15.3286	0.771320	-0.588753	-1.121375	1.274089	-25.6304	87.5382	80.3254	352.7868	-0.0915	-0.0906	9.9237	0.1868
15.4810	0.398655	-1.111731	-1.121030	1.190122	-27.4154	78.0415	80.2883	2.2465	-0.0881	-0.0964	9.9218	0.1908
15.6334	1.210810	-1.185774	-1.120544	1.153754	-30.4666	63.6720	66.7206	3.0484	-0.0867	-0.0906	9.9232	0.1962
15.7858	1.210936	-1.184650	-1.120456	1.200750	-35.1456	127.9638	132.1759	4.2119	-0.0854	-0.0856	9.9589	0.2040
15.9382	0.299856	0.422063	-1.122622	1.267139	-39.3026	285.3522	289.3489	3.9970	-0.0862	-0.0887	9.9443	0.2068
16.0906	-0.458997	1.215391	-1.123906	1.294260	-40.1252	267.4290	262.9397	355.5108	-0.0859	-0.0939	9.8812	0.1890
16.2430	-0.953765	1.217765	-1.128967	1.263564	-36.3707	301.1107	278.1387	337.0286	-0.0812	-0.0894	9.7777	0.1832
16.3954	-0.119824	0.698780	0.108053	1.225476	-30.0279	304.9924	270.4961	325.5044	-0.0801	-0.0943	9.8218	0.2016
16.5478	0.025457	-0.059052	-0.142971	1.168858	-25.4260	240.9968	204.8157	323.8190	-0.0793	-0.0965	9.9707	0.2184
16.7002	0.007240	-0.008333	-1.114329	1.131134	-25.8282	308.0826	266.1465	318.0636	-0.0767	-0.0990	10.0473	0.2267
16.8526	-0.229766	0.173909	-1.114662	1.076511	-27.1431	285.0082	238.3782	313.3701	-0.0771	-0.1017	9.9794	0.2367
17.0050	-1.169710	0.709500	-1.115676	1.003735	-29.2075	289.0898	241.9891	312.8996	-0.0681	-0.1030	9.7969	0.2373
17.1574	-1.189342	1.043396	-1.114815	0.998621	-29.2490	293.7445	242.4243	308.6802	-0.0635	-0.1038	9.7727	0.2140
17.3098	-1.194954	0.883794	0.287808	1.006869	-24.5377	290.3829	228.5850	298.2028	-0.0641	-0.1038	9.8579	0.1415
17.4622	-1.198219	0.278474	0.796331	0.972237	-17.3354	216.1194	232.1972	268.4955	-0.0638	-0.1082	9.9809	0.0711
17.6146	-1.198336	0.822862	1.182427	0.961586	-10.2673	69.5764	277.3076	207.7314	-0.0626	-0.1098	10.0608	0.0550
17.7670	0.342024	0.660956	1.183428	1.022670	-6.7171	199.8607	269.8569	177.9800	-0.0643	-0.1088	9.9702	0.0981
17.9194	0.357511	-0.121802	-0.631051	1.086237	-2.0164	291.4265	97.9604	166.5340	-0.0559	-0.1081	9.8398	0.1195
18.0718	-0.107445	-0.374252	-1.099539	1.096072	1.9637	293.6364	93.8126	160.1762	-0.0525	-0.1050	9.7880	0.1584
18.2242	0.178600	-0.149742	-1.099628	1.087015	9.0501	268.1093	48.5964	140.4871	-0.0497	-0.1080	9.8706	0.1813
18.3766	0.668821	-0.224010	-1.099283	1.053400	16.8639	287.6642	56.6186	128.9548	-0.0540	-0.1102	9.9738	0.2021
