HOLE:	U1351B
EXPEDITION:	317
TOP:	87.5656
BOTTOM:	1011.8716
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
112.4068	51.0946	0.8289	28.9380	514.0000	2629.0000
112.5592	51.3642	0.5757	28.8903	495.5000	2608.5000
112.7116	54.0672	0.3438	29.9598	483.4286	2645.5000
112.8640	53.2002	0.6321	30.0810	496.0000	2525.5000
113.0164	53.4886	0.3874	30.5491	484.5000	2611.4285
113.1688	49.0891	0.5529	29.7204	487.0000	2608.5000
113.3212	50.7062	0.5613	29.0442	492.5000	2629.5000
113.4736	50.2981	0.8021	28.5349	492.0000	2600.0000
113.6260	52.1845	0.8115	28.3056	505.5000	2619.0000
113.7784	50.4708	1.1103	28.3165	505.0000	2580.0000
113.9308	52.3560	1.0844	28.9094	495.0000	2561.1428
114.0832	51.8003	1.0945	29.9460	495.0000	2594.5000
114.2356	55.0427	1.0392	31.1050	464.5000	2570.5000
114.3880	55.1863	0.5585	33.3037	479.0000	2557.5000
114.5404	56.1981	0.3041	34.4445	478.8571	2608.5000
114.6928	57.3119	0.2130	34.9232	487.0000	2548.5000
114.8452	56.5392	0.2660	36.4020	505.0000	2665.7144
114.9976	55.5413	0.4386	35.3881	479.5000	2585.5000
115.1500	53.7422	1.0630	34.8909	473.0000	2555.0000
115.3024	52.2223	1.0906	32.6684	497.5000	2525.5000
115.4548	50.7881	1.1112	31.5732	460.5714	2577.5000
115.6072	49.2285	1.1323	30.6867	477.0000	2549.0000
115.7596	49.6551	1.1242	30.6756	487.0000	2570.8572
115.9120	54.7646	0.8068	30.2242	470.5000	2597.5000
116.0644	57.7854	0.9199	31.5628	481.5000	2546.0000
116.2168	56.7247	0.9789	33.0124	500.0000	2655.5000
116.3692	54.1015	1.0592	32.5550	511.0000	2589.5000
116.5216	56.6615	1.0116	31.8654	505.5000	2542.0000
116.6740	56.5142	1.0188	32.3874	497.0000	2625.1428
116.8264	58.7271	0.9677	31.7086	509.5000	2572.0000
116.9788	56.2623	1.0184	30.1339	507.5000	2640.5000
117.1312	56.6559	0.7177	30.3637	502.8571	2589.0000
117.2836	55.3053	1.0351	31.2968	504.0000	2568.5000
117.4360	56.8848	0.8883	32.6674	496.5000	2633.5000
117.5884	55.8500	0.8579	33.5194	513.0000	2602.2856
117.7408	56.9400	1.0048	33.3047	474.0000	2614.0000
117.8932	53.2020	1.0752	34.2299	500.5000	2559.0000
118.0456	52.6444	1.0822	33.3236	508.5714	2634.0000
118.1980	50.0712	1.1240	32.0183	477.5000	2561.5000
118.3504	52.7119	1.0837	32.0805	505.0000	2570.0000
118.5028	54.1644	1.0645	31.8813	482.0000	2532.0000
118.6552	54.2044	1.0585	31.3822	474.5000	2541.1428
118.8076	51.5858	1.0946	31.4338	498.0000	2628.0000
118.9600	54.5206	1.0494	31.3657	496.0000	2516.0000
119.1124	54.3952	1.0539	32.5131	492.5000	2515.5000
119.2648	55.0204	0.8469	32.1281	479.4286	2579.0000
119.4172	53.9460	0.8779	31.0769	509.0000	2491.4285
119.5696	52.2494	0.8683	29.0507	470.0000	2585.5000
119.7220	47.7189	0.9595	27.6586	475.5000	2574.5000
119.8744	49.5212	0.8332	26.3506	469.0000	2564.5000
120.0268	51.0475	0.8979	26.9793	523.4286	2572.0000
120.1792	53.7104	0.5656	28.4610	528.0000	2653.5000
120.3316	51.5667	0.4897	28.0103	473.0000	2588.5000
120.4840	44.3579	0.5414	27.1913	509.0000	2609.7144
120.6364	41.2754	0.5100	27.7736	548.0000	2651.5000
120.7888	41.8844	0.1828	27.4031	562.5000	2630.5000
120.9412	43.5384	-0.0500	26.6280	545.7143	2697.5000
121.0936	39.4313	-0.0599	25.3692	573.5000	2658.0000
121.2460	38.7112	-0.1556	23.4407	579.0000	2760.5715
121.3984	37.2710	-0.1705	21.1238	608.5000	2753.0000
121.5508	38.3700	-0.1382	20.3084	593.5000	2853.0000
121.7032	39.0480	-0.0562	19.9870	576.5000	2778.0000
121.8556	41.7444	-0.0005	20.5262	606.2857	2776.0000
122.0080	43.8777	0.1594	21.7457	528.5000	2674.5000
122.1604	44.9035	0.3760	23.4070	514.0000	2685.5000
122.3128	39.9496	0.6484	25.4264	523.0000	2642.8572
122.4652	38.8480	0.8254	28.0769	511.0000	2692.0000
122.6176	44.7896	0.6619	30.2541	516.0000	2533.0000
122.7700	45.9577	0.4803	32.0804	541.0000	2591.0000
122.9224	44.6437	0.5462	33.4111	532.0000	2664.0000
123.0748	44.3538	0.5942	32.8289	521.0000	2613.0000
123.2272	47.3070	0.4002	33.5952	487.0000	2614.2856
123.3796	47.7802	0.4630	32.9596	493.5000	2633.0000
123.5320	45.0363	0.8135	31.4220	527.0000	2670.0000
123.6844	43.3327	0.9610	30.1265	520.0000	2619.5000
123.8368	47.4955	0.8209	32.2068	502.8571	2556.0000
123.9892	47.3798	0.7536	32.0738	508.0000	2511.0000
124.1416	48.5381	0.7395	32.2133	491.5000	2663.4285
124.2940	48.9053	0.3702	33.2571	503.5000	2600.5000
124.4464	51.9535	0.3181	33.6607	475.0000	2687.5000
124.5988	52.8649	0.4877	32.8283	525.7143	2606.5000
124.7512	51.6070	0.6993	31.2906	524.5000	2630.0000
124.9036	48.4043	0.8275	30.9951	532.5000	2645.7144
125.0560	47.3511	1.1532	29.6462	475.0000	2590.5000
125.2084	49.5493	1.1235	31.5199	520.5000	2570.0000
125.3608	48.2111	1.1432	30.6849	484.5714	2556.5000
125.5132	49.1931	0.7829	32.8874	522.5000	2610.0000
125.6656	53.0246	0.4832	33.9216	485.5000	2604.5715
125.8180	50.8344	0.1863	34.3223	503.0000	2533.0000
125.9704	43.2394	0.2611	32.8688	497.0000	2598.0000
