HOLE:	U1352C
EXPEDITION:	317
TOP:	102.0476
BOTTOM:	204.9176
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohm.m	ohm.m	ohm.m
155.6924	1.3605	1.1726	0.5361
155.8448	1.3715	1.1761	0.5837
155.9972	1.3834	1.1548	0.5839
156.1496	1.4080	1.1285	0.5335
156.3020	1.4422	1.1182	0.5688
156.4544	1.4398	1.1321	0.6255
156.6068	1.4323	1.1658	0.6439
156.7592	1.4277	1.2050	0.6363
156.9116	1.4199	1.2292	0.7859
157.0640	1.4066	1.2245	0.6823
157.2164	1.3958	1.1939	0.6917
157.3688	1.3777	1.1514	0.6628
157.5212	1.3471	1.1108	0.6008
157.6736	1.3176	1.0845	0.5688
157.8260	1.2980	1.0659	0.5714
157.9784	1.2922	1.0536	0.6075
158.1308	1.2949	1.0464	0.6069
158.2832	1.3002	1.0441	0.5655
158.4356	1.3081	1.0474	0.5977
158.5880	1.3221	1.0605	0.5486
158.7404	1.3359	1.0858	0.5906
158.8928	1.3514	1.1189	0.6484
159.0452	1.3716	1.1506	0.6426
159.1976	1.3928	1.1683	0.6191
159.3500	1.4023	1.1600	0.6865
159.5024	1.3744	1.1186	0.6597
159.6548	1.3475	1.0576	0.6017
159.8072	1.3271	0.9980	0.5644
159.9596	1.3106	0.9495	0.5987
160.1120	1.2960	0.9175	0.6082
160.2644	1.2826	0.9039	0.5201
160.4168	1.2682	0.9088	0.5491
160.5692	1.2423	0.9389	0.4792
160.7216	1.2056	0.9814	0.4615
160.8740	1.1905	1.0178	0.5999
161.0264	1.1960	1.0325	0.5079
161.1788	1.2092	1.0246	0.5331
161.3312	1.2319	1.0078	0.6849
161.4836	1.2446	0.9973	0.5385
161.6360	1.2374	0.9994	0.5908
161.7884	1.2231	1.0115	0.5909
161.9408	1.2129	1.0258	0.5962
162.0932	1.2099	1.0342	0.5416
162.2456	1.2085	1.0334	0.5537
162.3980	1.2072	1.0254	0.5714
162.5504	1.2061	1.0154	0.5933
162.7028	1.2049	1.0075	0.6011
162.8552	1.2040	1.0038	0.6025
163.0076	1.2024	1.0036	0.5752
163.1600	1.1978	1.0053	0.5508
163.3124	1.1921	1.0069	0.6252
163.4648	1.1896	1.0076	0.5827
163.6172	1.1879	1.0067	0.5564
163.7696	1.1847	1.0044	0.5804
163.9220	1.1809	1.0015	0.5965
164.0744	1.1786	0.9983	0.5587
164.2268	1.1765	0.9952	0.5513
164.3792	1.1744	0.9930	0.5590
164.5316	1.1728	0.9919	0.6085
164.6840	1.1710	0.9915	0.5976
164.8364	1.1687	0.9907	0.5534
164.9888	1.1679	0.9892	0.5601
165.1412	1.1685	0.9882	0.5636
165.2936	1.1713	0.9899	0.5157
165.4460	1.1762	0.9954	0.5350
165.5984	1.1817	1.0036	0.5764
165.7508	1.1897	1.0128	0.5913
165.9032	1.1989	1.0219	0.5969
166.0556	1.2044	1.0305	0.6115
166.2080	1.2076	1.0368	0.6104
166.3604	1.2094	1.0379	0.5852
166.5128	1.2100	1.0319	0.5936
166.6652	1.2098	1.0209	0.5613
166.8176	1.2092	1.0096	0.5645
166.9700	1.2050	1.0019	0.5532
167.1224	1.1964	0.9984	0.6107
167.2748	1.1851	0.9961	0.5534
167.4272	1.1724	0.9905	0.6087
167.5796	1.1627	0.9781	0.5492
167.7320	1.1576	0.9595	0.5331
167.8844	1.1661	0.9407	0.6190
168.0368	1.1822	0.9312	0.5213
168.1892	1.2039	0.9391	0.5152
168.3416	1.2258	0.9678	0.5333
168.4940	1.2506	1.0151	0.5353
168.6464	1.2812	1.0680	0.5666
168.7988	1.3135	1.1126	0.6194
168.9512	1.3322	1.1401	0.6803
169.1036	1.3378	1.1493	0.6412
169.2560	1.3411	1.1452	0.6600
169.4084	1.3433	1.1356	0.6588
169.5608	1.3444	1.1277	0.6350
169.7132	1.3437	1.1247	0.6076
169.8656	1.3405	1.1244	0.6094
170.0180	1.3355	1.1218	0.6034
170.1704	1.3266	1.1133	0.5918
170.3228	1.3130	1.1002	0.5452
170.4752	1.2964	1.0866	0.5646
170.6276	1.2779	1.0760	0.5792
170.7800	1.2499	1.0701	0.5925
170.9324	1.2179	1.0675	0.6072
171.0848	1.1947	1.0641	0.6053
171.2372	1.1808	1.0552	0.6048
171.3896	1.1727	1.0388	0.5657
171.5420	1.1679	1.0164	0.5779
171.6944	1.1656	0.9931	0.5679
171.8468	1.1643	0.9765	0.5785
171.9992	1.1617	0.9716	0.5756
172.1516	1.1596	0.9779	0.5288
172.3040	1.1603	0.9892	0.6076
172.4564	1.1584	0.9973	0.5804
172.6088	1.1511	0.9972	0.5648
172.7612	1.1446	0.9914	0.5816
172.9136	1.1424	0.9847	0.5565
173.0660	1.1407	0.9789	0.5455
173.2184	1.1352	0.9739	0.5435
173.3708	1.1282	0.9697	0.5451
173.5232	1.1237	0.9663	0.5972
173.6756	1.1210	0.9644	0.5438
173.8280	1.1198	0.9640	0.5320
173.9804	1.1215	0.9645	0.5743
174.1328	1.1237	0.9650	0.5561
174.2852	1.1248	0.9662	0.5614
174.4376	1.1301	0.9685	0.5443
174.5900	1.1397	0.9725	0.4611
174.7424	1.1517	0.9790	0.5687
174.8948	1.1671	0.9890	0.5672
175.0472	1.1769	1.0024	0.5710
175.1996	1.1822	1.0176	0.6099
175.3520	1.1875	1.0310	0.6177
175.5044	1.1943	1.0382	0.6083
175.6568	1.2020	1.0377	0.6106
175.8092	1.2074	1.0334	0.5617
175.9616	1.2116	1.0328	0.5725
176.1140	1.2162	1.0428	0.6344
176.2664	1.2218	1.0649	0.6294
176.4188	1.2312	1.0941	0.6109
176.5712	1.2529	1.1217	0.5923
176.7236	1.2783	1.1406	0.7132
176.8760	1.2986	1.1495	0.6533
177.0284	1.3232	1.1522	0.6424
177.1808	1.3505	1.1531	0.6016
177.3332	1.3664	1.1548	0.6302
177.4856	1.3660	1.1591	0.6729
177.6380	1.3615	1.1667	0.6416
177.7904	1.3604	1.1761	0.6959
177.9428	1.3599	1.1831	0.7055
178.0952	1.3592	1.1822	0.6846
178.2476	1.3586	1.1704	0.6286
178.4000	1.3586	1.1503	0.6109
178.5524	1.3573	1.1299	0.5566
178.7048	1.3526	1.1168	0.6515
178.8572	1.3387	1.1142	0.6746
179.0096	1.3207	1.1197	0.6746
179.1620	1.3139	1.1270	0.5946
179.3144	1.3133	1.1307	0.6571
179.4668	1.3126	1.1292	0.7136
179.6192	1.3122	1.1244	0.6224
179.7716	1.3136	1.1188	0.5985
179.9240	1.3154	1.1142	0.5906
180.0764	1.3161	1.1114	0.6435
180.2288	1.3164	1.1106	0.6863
180.3812	1.3156	1.1112	0.6483
180.5336	1.3125	1.1117	0.6427
180.6860	1.3051	1.1097	0.6139
180.8384	1.2954	1.1044	0.6062
180.9908	1.2888	1.0976	0.6257
181.1432	1.2820	1.0920	0.6730
181.2956	1.2681	1.0896	0.6602
181.4480	1.2467	1.0902	0.6393
181.6004	1.2283	1.0905	0.6442
181.7528	1.2168	1.0853	0.6163
181.9052	1.2069	1.0705	0.5993
182.0576	1.1996	1.0468	0.5370
182.2100	1.1965	1.0212	0.5620
182.3624	1.1956	1.0042	0.6479
182.5148	1.1941	1.0033	0.5868
182.6672	1.1901	1.0176	0.5888
182.8196	1.1878	1.0385	0.5566
182.9720	1.1884	1.0540	0.6459
183.1244	1.1945	1.0560	0.5508
183.2768	1.1995	1.0456	0.6358
183.4292	1.2059	1.0303	0.5619
183.5816	1.2078	1.0166	0.5977
183.7340	1.2128	1.0053	0.5856
183.8864	1.2220	0.9937	0.4752
184.0388	1.2291	0.9798	0.5657
184.1912	1.2400	0.9661	0.5136
184.3436	1.2487	0.9555	0.5009
184.4960	1.2457	0.9488	0.5433
184.6484	1.2557	0.9424	0.4204
184.8008	1.2324	0.9300	0.4473
184.9532	1.2272	0.9056	0.4198
185.1056	1.2170	0.8669	0.3980
185.2580	1.1979	0.8141	0.4990
185.4104	1.1728	0.7486	0.3637
185.5628	1.1397	0.6756	0.4445
185.7152	1.0971	0.6054	0.3454
185.8676	1.0526	0.5485	0.3378
186.0200	0.9925	0.5105	0.3181
186.1724	0.9118	0.4913	0.3532
186.3248	0.8580	0.4870	0.3095
186.4772	0.8113	0.4904	0.3447
186.6296	0.7389	0.4942	0.3468
186.7820	0.6840	0.4932	0.3159
186.9344	0.6620	0.4850	0.3747
187.0868	0.6497	0.4690	0.3261
187.2392	0.6429	0.4481	0.3066
187.3916	0.6403	0.4286	0.3404
187.5440	0.6405	0.4192	0.2591
187.6964	0.6442	0.4270	0.3462
187.8488	0.6465	0.4553	0.2723
188.0012	0.6581	0.5015	0.3620
188.1536	0.6847	0.5525	0.3792
188.3060	0.7345	0.5873	0.3340
188.4584	0.8294	0.5936	0.4015
188.6108	0.8294	0.5936	0.4037
188.7632	0.8294	0.5936	0.3678
188.9156	0.8294	0.5936	0.4563
189.0680	0.8294	0.5936	0.4927
189.2204	0.8294	0.5936	0.5480
189.3728	0.8294	0.5936	0.5332
189.5252	0.8294	0.5936	0.6685
189.6776	0.8294	0.5936	0.6385
189.8300	0.8294	0.5936	0.5803
189.9824	0.8294	0.5936	0.5379
190.1348	0.8294	0.5936	0.5936
190.2872	0.8294	0.5936	0.5705
190.4396	0.8294	0.5936	0.6233
190.5920	0.8294	0.5936	0.5599
190.7444	0.8294	0.5936	0.5493
190.8968	0.8294	0.5936	0.6136
191.0492	0.8294	0.5936	0.5517
191.2016	0.8294	0.5936	0.5800
191.3540	0.8294	0.5936	0.6205
191.5064	0.8294	0.5936	0.5531
191.6588	0.8294	0.5936	0.5609
191.8112	0.8294	0.5936	0.6724
191.9636	0.8294	0.5936	0.5876
192.1160	0.8294	0.5936	0.5522
192.2684	0.8294	0.5936	0.6678
192.4208	0.8294	0.5936	0.5804
192.5732	0.8294	0.5936	0.5938
192.7256	0.8294	0.5936	0.6330
192.8780	0.8294	0.5936	0.6136
193.0304	0.8294	0.5936	0.5797
193.1828	0.8294	0.5936	0.6064
193.3352	0.8294	0.5936	0.5702
193.4876	0.8294	0.5936	0.5733
193.6400	0.8294	0.5936	0.5848
193.7924	0.8294	0.5936	0.6136
193.9448	0.8294	0.5936	0.6462
194.0972	0.8294	0.5936	0.6481
194.2496	0.8294	0.5936	0.6407
194.4020	0.8294	0.5936	0.6419
194.5544	0.8294	0.5936	0.6211
194.7068	0.8294	0.5936	0.6487
194.8592	0.8294	0.5936	0.6313
195.0116	0.8294	0.5936	0.6296
195.1640	0.8294	0.5936	0.6625
195.3164	0.8294	0.5936	0.5654
195.4688	0.8294	0.5936	0.6924
195.6212	0.8294	0.5936	0.6747
195.7736	0.8294	0.5936	0.6927
195.9260	0.8294	0.5936	0.6825
196.0784	0.8294	0.5936	0.6819
196.2308	0.8294	0.5936	0.6904
196.3832	0.8294	0.5936	0.6801
196.5356	0.8294	0.5936	0.6657
196.6880	0.8294	0.5936	0.6541
196.8404	0.8294	0.5936	0.6595
196.9928	0.8294	0.5936	0.6630
197.1452	0.8294	0.5936	0.6583
197.2976	0.8294	0.5936	0.6715
197.4500	0.8294	0.5936	0.6742
197.6024	0.8294	0.5936	0.6458
197.7548	0.8294	0.5936	0.6185
197.9072	0.8294	0.5936	0.7020
198.0596	0.8294	0.5936	0.7322
198.2120	0.8294	0.5936	0.6711
198.3644	0.8294	0.5936	0.7083
198.5168	0.8294	0.5936	0.7417
198.6692	0.8294	0.5936	0.6653
198.8216	0.8294	0.5936	0.7451
198.9740	0.8294	0.5936	0.5953
199.1264	0.8294	0.5936	0.7387
199.2788	0.8294	0.5936	0.7439
199.4312	0.8294	0.5936	0.6277
199.5836	0.8294	0.5936	0.7705
199.7360	0.8294	0.5936	0.5941
199.8884	0.8294	0.5936	0.6617
200.0408	0.8294	0.5936	0.6755
200.1932	0.8294	0.5936	0.6745
200.3456	0.8294	0.5936	0.6455
200.4980	0.8294	0.5936	0.7023
200.6504	0.8294	0.5936	0.7815
200.8028	0.8294	0.5936	0.7963
200.9552	0.8294	0.5936	0.8013
201.1076	0.8294	0.5936	0.8012
201.2600	0.8294	0.5936	0.6110
201.4124	0.8294	0.5936	0.5862
201.5648	0.8294	0.5936	0.6588
201.7172	0.8294	0.5936	0.5603
201.8696	0.8294	0.5936	0.5896
202.0220	0.8294	0.5936	0.6545
202.1744	0.8294	0.5936	0.6331
202.3268	0.8294	0.5936	0.6220
202.4792	0.8294	0.5936	0.6462
202.6316	0.8294	0.5936	0.6798
202.7840	0.8294	0.5936	0.6204
202.9364	0.8294	0.5936	0.5832
203.0888	0.8294	0.5936	0.5600
203.2412	0.8294	0.5936	0.5589
203.3936	0.8294	0.5936	0.5440
203.5460	0.8294	0.5936	0.6894
203.6984	0.8294	0.5936	0.6037
203.8508	0.8294	0.5936	0.5955
204.0032	0.8294	0.5936	0.5776
204.1556	0.8294	0.5936	0.6345
204.3080	0.8294	0.5936	0.6168
204.4604	0.8294	0.5936	0.6257
204.6128	0.8294	0.5936	0.6327
204.7652	0.8294	0.5936	0.5903
204.9176	0.8294	0.5936	0.5903
