Exp,Site,Hole,Core,Type,Sect,Top(cm),Depth CSF-A (m),Reflectance L*,Reflectance a*,Reflectance b*
317,U1351,A,2,H,2,140,5.6,40.4,-1.7,1
317,U1351,A,2,H,2,145,5.65,42.8,-2.2,2.4
317,U1351,A,2,H,3,4.8,5.748,51.2,-1.7,1.5
317,U1351,A,2,H,3,9.8,5.798,50.1,-1.4,1
317,U1351,A,2,H,3,14.8,5.848,49.8,-1.5,1.3
317,U1351,A,2,H,3,19.8,5.898,49.4,-1.5,1.3
317,U1351,A,2,H,3,24.8,5.948,48,-1.4,1.1
317,U1351,A,2,H,3,29.8,5.998,43.9,-1.8,1.4
317,U1351,A,2,H,3,34.8,6.048,43.4,-1.7,1
317,U1351,A,2,H,3,39.9,6.099,45.7,-1.4,1
317,U1351,A,2,H,3,44.9,6.149,48.3,-1.3,1.1
317,U1351,A,2,H,3,49.9,6.199,40.1,-1.5,0.9
317,U1351,A,2,H,3,54.9,6.249,43.9,-1.4,1
317,U1351,A,2,H,3,59.9,6.299,42.9,-1.5,1.2
317,U1351,A,2,H,3,64.9,6.349,42.6,-1.5,0.9
317,U1351,A,2,H,3,69.9,6.399,40.5,-1.2,0.6
317,U1351,A,2,H,3,74.9,6.449,49.2,-1.3,1.1
317,U1351,A,2,H,3,80,6.5,41.8,-1.5,0.9
317,U1351,A,2,H,3,85,6.55,42.5,-1.3,0.8
317,U1351,A,2,H,3,90,6.6,45.7,-1.4,0.9
317,U1351,A,2,H,3,95,6.65,43.5,-1.6,1.1
317,U1351,A,2,H,3,100,6.7,43.4,-1.8,1.6
317,U1351,A,2,H,3,105,6.75,42.7,-1.9,1.7
317,U1351,A,2,H,3,110,6.8,41.1,-1.8,1.4
317,U1351,A,2,H,3,115,6.85,40.5,-2,2.4
317,U1351,A,2,H,4,4.7,7.247,32.8,-0.3,-1.1
317,U1351,A,2,H,4,9.7,7.297,40.9,-1.8,1.8
317,U1351,A,2,H,4,14.7,7.347,39.9,-1.2,0.9
317,U1351,A,2,H,4,19.8,7.398,37.8,-1,0.4
317,U1351,A,2,H,4,24.8,7.448,38.5,-1.5,0.9
317,U1351,A,2,H,4,29.8,7.498,39.6,-1.2,0.8
317,U1351,A,2,H,4,34.8,7.548,37.3,-0.9,0
317,U1351,A,2,H,4,39.8,7.598,40.2,-1.7,1.3
317,U1351,A,2,H,4,44.8,7.648,41.3,-1.3,1
317,U1351,A,2,H,4,49.8,7.698,38.7,-0.8,0
317,U1351,A,2,H,4,54.9,7.749,41.6,-0.8,0.5
317,U1351,A,2,H,4,59.9,7.799,43.5,-1,1
317,U1351,A,2,H,4,64.9,7.849,37.6,-0.4,0
317,U1351,A,2,H,4,69.9,7.899,38.6,-1.4,1.1
317,U1351,A,2,H,4,74.9,7.949,39.1,-1.3,1.2
317,U1351,A,2,H,4,79.9,7.999,38.1,-1,0.3
317,U1351,A,2,H,4,84.9,8.049,37.5,-1.4,1.1
317,U1351,A,2,H,4,89.9,8.099,35.1,-0.7,-0.3
317,U1351,A,2,H,4,94.9,8.149,36.3,-0.8,-0.2
317,U1351,A,2,H,4,99.9,8.199,38,-1.6,1.5
317,U1351,A,2,H,4,105,8.25,40.8,-1.2,0.4
317,U1351,A,2,H,4,110,8.3,42.5,-0.9,0.1
317,U1351,A,2,H,4,115,8.35,42,-1.7,1.5
317,U1351,A,2,H,4,120,8.4,50.2,-1.5,1.4
317,U1351,A,2,H,4,125,8.45,46.3,-1.4,1.7
317,U1351,A,2,H,4,130,8.5,48.1,-1.4,1.5
317,U1351,A,2,H,4,135.1,8.551,42.7,-1.4,2.2
317,U1351,A,2,H,5,4.8,8.748,46.6,-1.1,1.1
317,U1351,A,2,H,5,9.8,8.798,42.1,-1.2,1
317,U1351,A,2,H,5,14.8,8.848,47.3,-0.9,0.9
317,U1351,A,2,H,5,19.8,8.898,51.9,-0.9,1.2
317,U1351,A,2,H,5,24.8,8.948,45.7,-1.1,0.9
317,U1351,A,2,H,5,29.8,8.998,46.2,-1.2,1.4
317,U1351,A,2,H,5,34.8,9.048,43.1,-1.1,1.2
317,U1351,A,2,H,5,39.9,9.099,43.2,-0.8,0.5
317,U1351,A,2,H,5,44.9,9.149,45.1,-1.1,1.1
317,U1351,A,2,H,5,49.9,9.199,38.3,-0.9,0.6
317,U1351,A,2,H,5,54.9,9.249,38.5,-0.4,0
317,U1351,A,2,H,5,59.9,9.299,41.7,-1.1,1.1
317,U1351,A,2,H,5,64.9,9.349,33.3,-0.4,-0.6
317,U1351,A,2,H,5,69.9,9.399,42.4,-0.9,0.9
317,U1351,A,2,H,5,74.9,9.449,38,-1.1,0.9
317,U1351,A,2,H,5,79.9,9.499,41,-0.4,0
317,U1351,A,2,H,5,85,9.55,37.7,-0.8,0.2
317,U1351,A,2,H,5,90,9.6,43.1,-1.3,1
317,U1351,A,2,H,5,95,9.65,43.2,-1.3,1
317,U1351,A,2,H,5,100,9.7,40.4,-1.2,0.9
317,U1351,A,2,H,5,105,9.75,40,-1.1,0.8
317,U1351,A,2,H,5,110,9.8,41.5,-1.2,1.1
317,U1351,A,2,H,5,115,9.85,38.8,-0.5,0.2
317,U1351,A,2,H,6,4.8,10.248,43.3,-0.9,0.9
317,U1351,A,2,H,6,9.8,10.298,50.6,-1.1,1.2
317,U1351,A,2,H,6,14.9,10.349,43.9,-1.1,1
317,U1351,A,2,H,6,19.9,10.399,44.7,-1.3,1.2
317,U1351,A,2,H,6,24.9,10.449,41.1,-1.2,1.1
317,U1351,A,2,H,6,29.9,10.499,47.8,-1.4,1.7
317,U1351,A,2,H,6,34.9,10.549,39.2,-1.3,1.8
317,U1351,A,2,H,6,39.9,10.599,36.1,-0.4,0.1
317,U1351,A,2,H,6,44.9,10.649,43.5,-0.7,0.8
317,U1351,A,2,H,6,50,10.7,39.6,-0.9,0.9
317,U1351,A,2,H,6,55,10.75,41.8,-1.3,1.6
317,U1351,A,2,H,6,60,10.8,39.6,-0.8,0.8
317,U1351,A,2,H,6,65,10.85,39,-1.3,1.6
317,U1351,A,2,H,6,70,10.9,48,-1.2,1.9
317,U1351,A,2,H,6,75,10.95,47.3,-1.1,1.6
317,U1351,A,2,H,6,80,11,44.8,-1,1.5
317,U1351,A,2,H,6,85,11.05,49.1,-1.1,1.4
317,U1351,A,2,H,6,90,11.1,45.4,-1,1.5
317,U1351,A,2,H,6,95,11.15,31.7,-0.6,0.2
317,U1351,A,2,H,CC,5,11.22,45.7,-1.1,1.7
317,U1351,A,2,H,CC,10,11.27,44.4,-1.1,1.6
317,U1351,A,2,H,CC,15,11.32,45.1,-1.2,1.7
317,U1351,A,2,H,CC,20,11.37,45.7,-1.5,2.7
317,U1351,A,3,H,1,4.9,12.249,44.6,-1.3,0.9
317,U1351,A,3,H,1,9.9,12.299,40.7,-1.1,2.4
317,U1351,A,3,H,1,14.9,12.349,47.8,-1.8,4.3
317,U1351,A,3,H,1,20,12.4,48,-2,5.2
317,U1351,A,3,H,1,25,12.45,35.3,0.4,-0.4
317,U1351,A,3,H,1,30,12.5,42.3,-1.5,4
317,U1351,A,3,H,1,35,12.55,40.3,-1.2,3.7
317,U1351,A,3,H,1,40,12.6,46.2,-1.5,3.3
317,U1351,A,3,H,1,45,12.65,42.9,-1.1,3
317,U1351,A,3,H,1,50,12.7,44.2,-1.4,4.2
317,U1351,A,3,H,1,55,12.75,47.4,-1.8,5
317,U1351,A,3,H,2,4.7,13.747,32.8,0.1,0.2
317,U1351,A,3,H,2,9.7,13.797,38.2,-0.6,2.3
317,U1351,A,3,H,2,14.7,13.847,35.8,0,0.7
317,U1351,A,3,H,2,19.7,13.897,43.3,-0.4,1
317,U1351,A,3,H,2,24.8,13.948,43.9,-0.8,2.9
317,U1351,A,3,H,2,29.8,13.998,40.7,-1,2.7
317,U1351,A,3,H,2,34.8,14.048,47,-0.9,2.5
317,U1351,A,3,H,2,39.8,14.098,45.7,-0.9,2.6
317,U1351,A,3,H,2,44.8,14.148,40,-0.9,2.4
317,U1351,A,3,H,2,49.8,14.198,44.5,-0.8,2.5
317,U1351,A,3,H,2,54.8,14.248,44.4,-0.9,2.4
317,U1351,A,3,H,2,59.8,14.298,45.6,-0.9,2.4
317,U1351,A,3,H,2,64.9,14.349,41.7,-0.6,1.7
317,U1351,A,3,H,2,69.9,14.399,41.2,-0.8,2.3
317,U1351,A,3,H,2,74.9,14.449,39.3,-0.3,0.7
317,U1351,A,3,H,2,79.9,14.499,46.5,-0.9,2
317,U1351,A,3,H,2,84.9,14.549,44.2,-0.8,1.8
317,U1351,A,3,H,2,89.9,14.599,43.2,-0.8,2.1
317,U1351,A,3,H,2,94.9,14.649,42.9,-0.8,1.8
317,U1351,A,3,H,2,99.9,14.699,43.5,-1.2,2.6
317,U1351,A,3,H,2,104.9,14.749,42.4,-0.8,2.4
317,U1351,A,3,H,2,110,14.8,38,-0.6,1.3
317,U1351,A,3,H,2,115,14.85,42.3,-1.5,3.1
317,U1351,A,3,H,2,120,14.9,41.8,-1.3,3.3
317,U1351,A,3,H,2,125,14.95,41.2,-1.1,2.3
317,U1351,A,3,H,2,130,15,34.1,-0.3,0.7
317,U1351,A,3,H,2,135,15.05,42.5,-1.3,2.7
317,U1351,A,3,H,2,140,15.1,31.9,0.5,-0.9
317,U1351,A,3,H,2,145.1,15.151,43.3,-1.5,3.6
317,U1351,A,3,H,3,4.8,15.248,46.8,-1,2.5
317,U1351,A,3,H,3,9.8,15.298,39.1,-0.5,0.6
317,U1351,A,3,H,3,14.8,15.348,38.8,-0.5,0.8
317,U1351,A,3,H,3,19.8,15.398,33.7,-0.4,-1
317,U1351,A,3,H,3,24.8,15.448,38.7,-0.2,0.7
317,U1351,A,3,H,3,29.8,15.498,44.5,-0.1,2.4
317,U1351,A,3,H,3,34.8,15.548,34.9,0.2,-1.3
317,U1351,A,3,H,3,39.9,15.599,40.4,-1.2,0.7
317,U1351,A,3,H,3,44.9,15.649,37.8,0.5,-1.1
317,U1351,A,3,H,3,49.9,15.699,45.5,-0.6,0.2
317,U1351,A,3,H,3,54.9,15.749,43.2,-0.5,0.3
317,U1351,A,3,H,3,59.9,15.799,39.6,-0.1,-0.6
317,U1351,A,3,H,3,64.9,15.849,48.2,-1.8,2.5
317,U1351,A,3,H,3,69.9,15.899,47.5,-1.5,1.7
317,U1351,A,3,H,3,74.9,15.949,37.1,0.2,-1.2
317,U1351,A,3,H,3,80,16,45.1,-1,0.1
317,U1351,A,3,H,3,85,16.05,32.3,0.6,-2.3
317,U1351,A,3,H,3,90,16.1,45.3,-0.7,0.6
317,U1351,A,3,H,3,95,16.15,33.2,0.2,-1.4
317,U1351,A,3,H,3,100,16.2,47.6,-1.4,1.8
317,U1351,A,3,H,3,105,16.25,38,-0.2,-0.4
317,U1351,A,3,H,3,110,16.3,34,-0.2,-1.3
317,U1351,A,3,H,3,115,16.35,38.4,-0.7,0.9
317,U1351,A,3,H,4,4.8,16.748,36.5,-0.7,0.5
317,U1351,A,3,H,4,9.8,16.798,30.7,0.1,-1.2
317,U1351,A,3,H,4,14.8,16.848,41.3,-0.6,0.5
317,U1351,A,3,H,4,19.9,16.899,37.8,-0.3,0
317,U1351,A,3,H,4,24.9,16.949,41.8,-0.4,0.4
317,U1351,A,3,H,4,29.9,16.999,36,-0.2,-0.8
317,U1351,A,3,H,4,34.9,17.049,37.1,-0.4,-0.8
317,U1351,A,3,H,4,39.9,17.099,35.5,-0.3,-1
317,U1351,A,3,H,4,44.9,17.149,39,-0.3,-0.7
317,U1351,A,3,H,4,49.9,17.199,43.6,-0.4,-0.3
317,U1351,A,3,H,4,54.9,17.249,42.1,-0.3,-0.1
317,U1351,A,3,H,4,60,17.3,32.6,-0.1,-1.1
317,U1351,A,3,H,4,65,17.35,31.1,0.4,-2.2
317,U1351,A,3,H,4,70,17.4,39.4,-0.1,-0.8
317,U1351,A,3,H,4,75,17.45,41.6,-0.2,-0.3
317,U1351,A,3,H,4,80,17.5,33.5,0.4,-1.4
317,U1351,A,3,H,4,85,17.55,38.4,-0.2,-0.1
317,U1351,A,3,H,4,90,17.6,35,0,-1
317,U1351,A,3,H,4,95,17.65,38.6,-0.4,-0.3
317,U1351,A,3,H,4,100,17.7,39.6,-0.6,1
317,U1351,A,3,H,CC,5,17.88,43.3,-1,0.1
317,U1351,A,3,H,CC,10,17.93,43.1,-1.1,1
317,U1351,A,3,H,CC,15,17.98,31.8,-0.4,-0.8
317,U1351,A,3,H,CC,20,18.03,34.6,-0.5,-0.9
317,U1351,A,3,H,CC,25.1,18.081,46.4,-1.7,2.3
317,U1351,A,4,H,1,4.9,18.249,38.9,0.4,-0.8
317,U1351,A,4,H,1,9.9,18.299,39.8,-0.2,0.7
317,U1351,A,4,H,1,14.9,18.349,29.1,1.6,-3.5
317,U1351,A,4,H,1,20,18.4,38.3,1.2,-2.4
317,U1351,A,4,H,1,25,18.45,49.7,-0.4,1
317,U1351,A,4,H,1,30,18.5,27.2,1.4,-3.3
317,U1351,A,4,H,1,35,18.55,28.9,2.1,-4.3
317,U1351,A,4,H,1,40,18.6,43,-0.1,-0.6
317,U1351,A,4,H,1,45,18.65,41.1,-0.2,0.7
317,U1351,A,4,H,1,50,18.7,36.2,0.1,-2.1
317,U1351,A,4,H,1,55,18.75,43.2,-0.9,0.7
317,U1351,A,4,H,2,4.7,19.747,40,0,-1.1
317,U1351,A,4,H,2,9.7,19.797,43.5,-0.4,-0.7
317,U1351,A,4,H,2,14.7,19.847,39.5,-0.9,-0.3
317,U1351,A,4,H,2,19.7,19.897,38.2,-0.3,-1.2
317,U1351,A,4,H,2,24.8,19.948,47.2,-0.7,-0.6
317,U1351,A,4,H,2,29.8,19.998,48.6,-0.6,-0.2
317,U1351,A,4,H,2,34.8,20.048,47.8,-0.6,-0.3
317,U1351,A,4,H,2,39.8,20.098,38.1,-0.2,-1.5
317,U1351,A,4,H,2,44.8,20.148,39,0.6,-2.1
317,U1351,A,4,H,2,49.8,20.198,47.6,-0.7,-0.5
317,U1351,A,4,H,2,54.8,20.248,44.6,-0.5,-0.8
317,U1351,A,4,H,2,59.8,20.298,47,-0.5,-0.6
317,U1351,A,4,H,2,64.9,20.349,43.6,-0.4,-0.8
317,U1351,A,4,H,2,69.9,20.399,43.3,-0.4,-0.6
317,U1351,A,4,H,2,74.9,20.449,43.5,-0.2,-0.4
317,U1351,A,4,H,2,79.9,20.499,46.5,-0.2,-0.6
317,U1351,A,4,H,2,84.9,20.549,45.8,-0.2,-0.7
317,U1351,A,4,H,2,89.9,20.599,40,0.4,-1.5
317,U1351,A,4,H,2,94.9,20.649,40.3,0,-1.5
317,U1351,A,4,H,2,99.9,20.699,37.2,0.5,-2.3
317,U1351,A,4,H,2,105,20.75,36.2,0.4,-2.3
317,U1351,A,4,H,2,110,20.8,42.1,0.5,-1.4
317,U1351,A,4,H,2,115,20.85,51.9,-0.8,0.9
317,U1351,A,4,H,2,120,20.9,36.6,0.6,-1.2
317,U1351,A,4,H,2,125,20.95,42.1,0.2,-0.8
317,U1351,A,4,H,2,130,21,41.7,0,-0.4
317,U1351,A,4,H,2,135,21.05,39.5,-0.1,-0.9
317,U1351,A,4,H,2,140,21.1,34.8,1,-1.8
317,U1351,A,4,H,2,145,21.15,41.6,0,0
317,U1351,A,4,H,3,4.8,21.248,33.6,0.8,-2.7
317,U1351,A,4,H,3,9.8,21.298,37.6,-0.3,-0.8
317,U1351,A,4,H,3,14.8,21.348,33.4,0.1,-2
317,U1351,A,4,H,3,19.8,21.398,33.8,0.1,-1.6
317,U1351,A,4,H,3,24.8,21.448,38.5,-0.6,-0.6
317,U1351,A,4,H,3,29.8,21.498,44.5,-0.7,-0.1
317,U1351,A,4,H,3,34.9,21.549,44.8,-0.5,0.6
317,U1351,A,4,H,3,39.9,21.599,35.3,0,-0.4
317,U1351,A,4,H,3,44.9,21.649,43.3,-0.6,1.3
317,U1351,A,4,H,3,49.9,21.699,43.8,-0.8,2.1
317,U1351,A,4,H,3,54.9,21.749,35.3,0.1,0.1
317,U1351,A,4,H,3,59.9,21.799,45.4,-0.7,1.5
317,U1351,A,4,H,3,64.9,21.849,36.7,-0.2,0.7
317,U1351,A,4,H,3,69.9,21.899,43,-0.6,2
317,U1351,A,4,H,3,74.9,21.949,41.4,-0.2,0.6
317,U1351,A,4,H,3,80,22,42.1,-0.5,1
317,U1351,A,4,H,3,85,22.05,46.4,-1.2,2.3
317,U1351,A,4,H,3,90,22.1,48.5,-1,2.5
317,U1351,A,4,H,3,95,22.15,46,-1.1,2.5
317,U1351,A,4,H,3,100,22.2,44.3,-0.7,1.5
317,U1351,A,4,H,3,105,22.25,43.8,-0.5,2.3
317,U1351,A,4,H,3,110,22.3,34.8,-0.1,0.3
317,U1351,A,4,H,3,115,22.35,28.1,1.2,-2.3
317,U1351,A,4,H,4,4.7,22.747,43.5,-0.3,0.8
317,U1351,A,4,H,4,9.7,22.797,35,-0.4,1.7
317,U1351,A,4,H,4,14.7,22.847,42.5,-0.3,1
317,U1351,A,4,H,4,19.7,22.897,44.8,-0.7,2.1
317,U1351,A,4,H,4,24.8,22.948,43.3,-0.8,2.2
317,U1351,A,4,H,4,29.8,22.998,36.4,0,-0.4
317,U1351,A,4,H,4,34.8,23.048,44.8,-0.9,2.3
317,U1351,A,4,H,4,39.8,23.098,46.4,-1.1,2.6
317,U1351,A,4,H,4,44.8,23.148,38.6,-0.4,0.9
317,U1351,A,4,H,4,49.8,23.198,39.8,-0.9,1.6
317,U1351,A,4,H,4,54.9,23.249,40,-0.3,1.1
317,U1351,A,4,H,4,59.9,23.299,38.2,-0.1,0.4
317,U1351,A,4,H,4,64.9,23.349,32.8,0.5,-0.6
317,U1351,A,4,H,4,69.9,23.399,40,-0.5,1.8
317,U1351,A,4,H,4,74.9,23.449,30.3,0.3,0.1
317,U1351,A,4,H,4,79.9,23.499,28.8,0.9,-1.3
317,U1351,A,4,H,4,84.9,23.549,43.8,-0.9,2.4
317,U1351,A,4,H,4,89.9,23.599,43.9,-1.1,2.8
317,U1351,A,4,H,4,94.9,23.649,42.2,-0.5,2.2
317,U1351,A,4,H,4,100,23.7,40.9,-0.4,1.5
317,U1351,A,4,H,4,105,23.75,40.9,-0.8,2.3
317,U1351,A,4,H,4,110,23.8,46.4,-0.7,2.4
317,U1351,A,4,H,4,115,23.85,48.7,-1.1,3
317,U1351,A,4,H,4,120,23.9,43.5,-0.9,2.6
317,U1351,A,4,H,4,125,23.95,48.5,-1,3
317,U1351,A,4,H,4,130,24,48.3,-1,3.4
317,U1351,A,4,H,4,135,24.05,39.3,-0.5,2.2
317,U1351,A,4,H,5,5,24.25,45.2,-0.8,3.2
317,U1351,A,4,H,5,10,24.3,47.6,-1.2,3.3
317,U1351,A,4,H,5,15,24.35,39.5,-1.2,4
317,U1351,A,4,H,5,20,24.4,35.2,-0.5,2.5
317,U1351,A,4,H,5,25,24.45,38.4,-0.5,2.3
317,U1351,A,4,H,5,30,24.5,45.5,-1.3,4.8
317,U1351,A,4,H,CC,5,24.89,40.8,0,1.2
317,U1351,A,4,H,CC,10,24.94,43.2,-0.7,2.9
317,U1351,A,4,H,CC,15,24.99,37,-0.2,2.7
317,U1351,A,4,H,CC,20,25.04,40.5,-1,3.9
317,U1351,A,5,H,1,4.9,25.149,34.8,1.2,-2
317,U1351,A,5,H,1,9.9,25.199,45,0,1.7
317,U1351,A,5,H,1,14.9,25.249,38.8,0.2,1.2
317,U1351,A,5,H,1,19.9,25.299,49.3,-1,3.1
317,U1351,A,5,H,1,25,25.35,50.4,-0.4,1.6
317,U1351,A,5,H,1,30,25.4,49.5,-1.9,3.2
317,U1351,A,5,H,1,35,25.45,41.8,-0.5,0
317,U1351,A,5,H,1,40,25.5,36.8,0.4,1.9
317,U1351,A,5,H,1,45,25.55,40.6,0.2,-0.3
317,U1351,A,5,H,1,50,25.6,46.1,-0.7,2.3
317,U1351,A,5,H,1,55,25.65,39.8,-1.1,1.6
317,U1351,A,5,H,2,4.9,26.649,33.8,0.9,-1.2
317,U1351,A,5,H,2,9.9,26.699,40.7,-1.4,2.6
317,U1351,A,5,H,2,14.9,26.749,36.6,0.3,-0.5
317,U1351,A,5,H,2,19.9,26.799,44.1,-1.8,4.2
317,U1351,A,5,H,2,25,26.85,46.2,-1.5,3.2
317,U1351,A,5,H,2,30,26.9,47.5,-1.6,4.7
317,U1351,A,5,H,2,35,26.95,38,-1.2,3.1
317,U1351,A,5,H,2,40,27,42.6,-1.7,4
317,U1351,A,5,H,2,45,27.05,43.9,-1.4,3.9
317,U1351,A,5,H,2,50,27.1,41.7,-0.7,1.8
317,U1351,A,5,H,2,55,27.15,42.4,-1.6,4.4
317,U1351,A,6,H,1,4.9,27.549,38.8,0.5,-1
317,U1351,A,6,H,1,9.9,27.599,37.9,0.5,-0.5
317,U1351,A,6,H,1,15,27.65,37.2,0.6,-0.9
317,U1351,A,6,H,1,20,27.7,41.5,0.3,-0.2
317,U1351,A,6,H,1,25,27.75,29.9,1,-2.7
317,U1351,A,6,H,1,30,27.8,37.6,-0.9,-0.7
317,U1351,A,6,H,1,35,27.85,36.9,-0.8,-0.9
317,U1351,A,6,H,1,40,27.9,34.9,-0.3,-1.4
317,U1351,A,6,H,1,45,27.95,31.4,0.3,-1.5
317,U1351,B,1,H,1,4.7,0.047,41.5,-0.9,6.7
317,U1351,B,1,H,1,9.7,0.097,39.8,-1.2,7.1
317,U1351,B,1,H,1,14.7,0.147,35,-0.2,4
317,U1351,B,1,H,1,19.7,0.197,45,-2.2,10.3
317,U1351,B,1,H,1,24.7,0.247,39.3,-1.3,6.4
317,U1351,B,1,H,1,29.8,0.298,39.2,-1.1,6
317,U1351,B,1,H,1,34.8,0.348,30.6,1.6,-1.9
317,U1351,B,1,H,1,39.8,0.398,42.3,-0.9,4.7
317,U1351,B,1,H,1,44.8,0.448,44.4,-1.1,5.4
317,U1351,B,1,H,1,49.8,0.498,44.9,-1.2,5.2
317,U1351,B,1,H,1,54.8,0.548,41.8,-1,4.4
317,U1351,B,1,H,1,59.8,0.598,41.4,-1.8,7.2
317,U1351,B,1,H,1,64.9,0.649,42.3,-1.9,8.7
317,U1351,B,1,H,1,69.9,0.699,41.9,-1.4,6.3
317,U1351,B,1,H,1,74.9,0.749,40.9,-1.6,6.6
317,U1351,B,1,H,1,79.9,0.799,41.4,-1.6,7.1
317,U1351,B,1,H,1,84.9,0.849,42.9,-1.6,5.6
317,U1351,B,1,H,1,89.9,0.899,39.7,-1.7,7
317,U1351,B,1,H,1,94.9,0.949,39.6,-1.6,6.4
317,U1351,B,1,H,1,99.9,0.999,41.3,-1.7,5.6
317,U1351,B,1,H,1,104.9,1.049,40.3,-1.9,6.8
317,U1351,B,1,H,1,109.9,1.099,38.3,-1.2,4.7
317,U1351,B,1,H,1,115,1.15,42.8,-1.3,4.7
317,U1351,B,1,H,1,120,1.2,45.5,-1.5,4.4
317,U1351,B,1,H,1,125,1.25,39.7,-1.2,4.2
317,U1351,B,1,H,1,130,1.3,41.7,-1.5,4.8
