HOLE:	U1508C
EXPEDITION:	371
TOP:	271.1869
BOTTOM:	671.2368
DEPTH_WMSF	LCAL
m	in
333.8233	10.45492
333.9757	10.4005
334.1281	10.39842
334.2805	10.30738
334.4329	10.27844
334.5853	10.26768
334.7377	10.28267
334.8901	10.27808
335.0425	10.26796
335.1949	10.23675
335.3473	10.17433
335.4997	9.960505
335.6521	9.418366
335.8045	9.248359
335.9569	9.243901
336.1093	9.237582
336.2617	9.240037
336.4141	9.24366
336.5665	9.33033
336.7189	9.585725
336.8713	9.672447
337.0237	9.691708
337.1761	9.69122
337.3285	9.692101
337.4809	9.69192
337.6333	9.699521
337.7857	9.697916
337.9381	9.62576
338.0905	9.492887
338.2429	9.418596
338.3953	9.362073
338.5477	9.294575
338.7001	9.154296
338.8525	9.088836
339.0049	9.078485
339.1573	9.07833
339.3097	9.074559
339.4621	9.071773
339.6145	9.072961
339.7669	9.07673
339.9193	9.079645
340.0717	9.077306
340.2241	9.087668
340.3765	9.081135
340.5289	9.076805
340.6813	9.073035
340.8337	9.081172
340.9861	9.087762
341.1385	9.081029
341.2909	9.071773
341.4433	9.073984
341.5957	9.079448
341.7481	9.077227
341.9005	9.079906
342.0529	9.072364
342.2053	9.078722
342.3577	9.073764
342.5101	9.07524
342.6625	9.083588
342.8149	9.07996
342.9673	9.076941
343.1197	9.092366
343.2721	9.122648
343.4245	9.162803
343.5769	9.154174
343.7293	9.154174
343.8817	9.16165
344.0341	9.159026
344.1865	9.162849
344.3389	9.138934
344.4913	9.101956
344.6437	9.082145
344.7961	9.082876
344.9485	9.087544
345.1009	9.086379
345.2533	9.091133
345.4057	9.160654
345.5581	9.198337
345.7105	9.195821
345.8629	9.195372
346.0153	9.195372
346.1677	9.195372
346.3201	9.20689
346.4725	9.19605
346.6249	9.203265
346.7773	9.19561
346.9297	9.195373
347.0821	9.203595
347.2345	9.204468
347.3869	9.286551
347.5393	9.308897
347.6917	9.314853
347.8441	9.314855
347.9965	9.315553
348.1489	9.324032
348.3013	9.327691
348.4537	9.370775
348.6061	9.387971
348.7585	9.38135
348.9109	9.384265
349.0633	9.381455
349.2157	9.385077
349.3681	9.385728
349.5205	9.385732
349.6729	9.387228
349.8253	9.380774
349.9777	9.38177
350.1301	9.383842
350.2825	9.381877
350.4349	9.383737
350.5873	9.380774
350.7397	9.380774
350.8921	9.380774
351.0445	9.384876
351.1969	9.388876
351.3493	9.37489
351.5017	9.349437
351.6541	9.274824
351.8065	9.146496
351.9589	9.075137
352.1113	9.08522
352.2637	9.079849
352.4161	9.041422
352.5685	9.012198
352.7209	9.009973
352.8733	9.009973
353.0257	9.009973
353.1781	9.012076
353.3305	9.02056
353.4829	9.017615
353.6353	9.014498
353.7877	9.01358
353.9401	9.01471
354.0925	9.019423
354.2449	9.014086
354.3973	9.015027
354.5497	9.01305
354.7021	9.015237
354.8545	9.012843
355.0069	9.009973
355.1593	9.009973
355.3117	9.009973
355.4641	9.012867
355.6165	9.011145
355.7689	9.009973
355.9213	9.013028
356.0737	9.017199
356.2261	9.011892
356.3785	9.009973
356.5309	9.009973
356.6833	9.009973
356.8357	9.009973
356.9881	9.016817
357.1405	9.000828
357.2929	8.986142
357.4453	8.909922
357.5977	8.804289
357.7501	8.754741
357.9025	8.739184
358.0549	8.745633
358.2073	8.732831
358.3597	8.737717
358.5121	8.73805
358.6645	5.737539
358.8169	9.355031
358.9693	9.411681
359.1217	9.401416
359.2741	9.405518
359.4265	9.406343
359.5789	9.402164
359.7313	9.416843
359.8837	9.401374
360.0361	9.401732
360.1885	9.405083
360.3409	9.401953
360.4933	9.405878
360.6457	9.401943
360.7981	9.40487
360.9505	9.404738
361.1029	9.421974
361.2553	9.421974
361.4077	9.421974
361.5601	9.423745
361.7125	9.428338
361.8649	9.421974
362.0173	9.421974
362.1697	9.421974
362.3221	9.420539
362.4745	9.415922
362.6269	9.412478
362.7793	9.408306
362.9317	9.410928
363.0841	9.418444
363.2365	9.412406
363.3889	9.413733
363.5413	9.412161
363.6937	9.382013
363.8461	9.280869
363.9985	9.195373
364.1509	9.202502
364.3033	9.204517
364.4557	9.195372
364.6081	9.195372
364.7605	9.195373
364.9129	9.199464
365.0653	9.199418
365.2177	9.200749
365.3701	9.200158
365.5225	9.195372
365.6749	9.197681
365.8273	9.19713
365.9797	9.210472
366.1321	9.205692
366.2845	9.195372
366.4369	9.197945
366.5893	9.196867
366.7417	9.206088
366.8941	9.200921
367.0465	9.198155
367.1989	9.20233
367.3513	9.19783
367.5037	9.201261
367.6561	9.194626
367.8085	9.194299
367.9609	9.198474
368.1133	9.196339
368.2657	9.198581
368.4181	9.196234
368.5705	9.195372
368.7229	9.198736
368.8753	9.196074
369.0277	9.19884
369.1801	9.167798
369.3325	9.165988
369.4849	9.155646
369.6373	9.154174
369.7897	9.154174
369.9421	9.154174
370.0945	9.165689
370.2469	9.154852
370.3993	9.154174
370.5517	9.158171
370.7041	9.154245
370.8565	9.166483
371.0089	9.154173
371.1613	9.154435
371.3137	9.166107
371.4661	9.154562
371.6185	9.161915
371.7709	9.154173
371.9233	9.154174
372.0757	9.154174
372.2281	9.154174
372.3805	9.154173
372.5329	9.154736
372.6853	9.159521
372.8377	9.164527
372.9901	9.155976
373.1425	9.158657
373.2949	9.135226
373.4473	9.142692
373.5997	9.145933
373.7521	9.149136
373.9045	9.155953
374.0569	9.147022
374.2093	9.15234
374.3617	9.157097
374.5141	9.158858
374.6665	9.164749
374.8189	9.151466
374.9713	9.145933
375.1237	9.147393
375.2761	9.147785
375.4285	9.14622
375.5809	9.163003
375.7333	9.188028
375.8857	9.195372
376.0381	9.195372
376.1905	9.195373
376.3429	9.199136
376.4953	9.199745
376.6477	9.195372
376.8001	9.195373
376.9525	9.195372
377.1049	9.201814
377.2573	9.201137
377.4097	9.195373
377.5621	9.193069
377.7145	9.193609
377.8669	9.202603
378.0193	9.197269
378.1717	9.193364
378.3241	9.192805
378.4765	9.191253
378.6289	9.204613
378.7813	9.20095
378.9337	9.198151
379.0861	9.196659
379.2385	9.195372
379.3909	9.210057
379.5433	9.201029
379.6957	9.195372
379.8481	9.198467
380.0005	9.196345
380.1529	9.195372
380.3053	9.195373
380.4577	9.198678
380.6101	9.199492
380.7625	9.199492
380.9149	9.200358
381.0673	9.206679
381.2197	9.300559
381.3721	9.427131
381.5245	9.611146
381.6769	9.735107
381.8293	9.844977
381.9817	9.877389
382.1341	9.879297
382.2865	9.883186
382.4389	9.8903
382.5913	9.879686
382.7437	9.887349
382.8961	9.883468
383.0485	9.834017
383.2009	9.800519
383.3533	9.747714
383.5057	9.759432
383.6581	9.747631
383.8105	9.751793
383.9629	9.75517
384.1153	9.7493
384.2677	9.774643
384.4201	9.804194
384.5725	9.836189
384.7249	9.854086
384.8773	9.850457
385.0297	9.849875
385.1821	9.846803
385.3345	9.85026
385.4869	9.860982
385.6393	9.896952
385.7917	9.922901
385.9441	9.931586
386.0965	9.928013
386.2489	9.954391
386.4013	10.0443
386.5537	10.10125
386.7061	10.11584
386.8585	10.1198
387.0109	10.10294
387.1633	10.1071
387.3157	10.10752
387.4681	10.10566
387.6205	10.1128
387.7729	10.11002
387.9253	10.10894
388.0777	10.10803
388.2301	10.11762
388.3825	10.12749
388.5349	10.12238
388.6873	10.129
388.8397	10.13206
388.9921	10.12761
389.1445	10.12937
389.2969	10.12605
389.4493	10.13391
389.6017	10.13061
389.7541	10.04952
389.9065	9.947783
390.0589	9.93594
390.2113	9.942021
390.3637	9.936977
390.5161	9.939171
390.6685	9.938858
390.8209	9.942685
390.9733	9.941455
391.1257	9.936976
391.2781	9.939395
391.4305	9.936171
391.5829	10.01687
391.7353	10.0696
391.8877	10.05838
392.0401	10.04698
392.1925	10.04135
392.3449	10.03998
392.4973	10.04286
392.6497	10.04114
392.8021	10.04905
392.9545	10.04307
393.1069	10.03998
393.2593	9.985062
393.4117	9.940246
393.5641	9.95643
393.7165	9.953965
393.8689	9.991857
394.0213	10.02379
394.1737	10.04584
394.3261	10.16614
394.4785	10.18375
394.6309	10.20343
394.7833	10.23614
394.9357	10.24572
395.0881	10.25613
395.2405	10.20064
395.3929	10.19234
395.5453	10.18815
395.6977	10.18472
395.8501	10.19377
396.0025	10.18418
396.1549	10.18418
396.3073	10.18418
396.4597	10.1853
396.6121	10.19116
396.7645	10.18558
396.9169	10.19088
397.0693	10.18418
397.2217	10.18599
397.3741	10.19046
397.5265	10.18835
397.6789	10.1962
397.8313	10.18654
397.9837	10.19242
398.1361	10.18977
398.2885	10.18557
398.4409	10.19049
398.5933	10.19677
398.7457	10.20225
398.8981	10.20311
399.0505	10.20066
399.2029	10.19795
399.3553	10.19729
399.5077	10.2026
399.6601	10.21282
399.8125	10.22126
399.9649	10.21803
400.1173	10.22063
400.2697	10.22309
400.4221	10.22126
400.5745	10.24068
400.7269	10.25547
400.8793	10.26525
401.0317	10.2628
401.1841	10.26374
401.3365	10.25965
401.4889	10.26054
401.6413	10.26537
401.7937	10.25169
401.9461	10.26122
402.0985	10.25488
402.2509	10.25671
402.4033	10.17043
402.5557	10.08725
402.7081	10.02882
402.8605	10.01505
403.0129	10.01158
403.1653	10.01114
403.3177	10.0038
403.4701	10.02533
403.6225	10.13417
403.7749	10.36396
403.9273	10.31069
404.0797	10.20742
404.2321	10.20478
404.3845	10.20989
404.5369	10.20498
404.6893	10.21267
404.8417	10.2111
404.9941	10.31564
405.1465	10.34746
405.2989	10.32758
405.4513	10.28461
405.6037	10.26873
405.7561	10.2808
405.9085	10.26776
406.0609	10.27605
406.2133	10.29916
406.3657	10.43943
406.5181	10.74126
406.6705	10.87294
406.8229	10.87783
406.9753	10.88149
407.1277	10.8693
407.2801	10.87304
407.4325	10.86895
407.5849	10.87484
407.7373	10.88187
407.8897	10.87617
408.0421	10.8914
408.1945	10.90185
408.3469	10.91754
408.4993	10.91754
408.6517	10.92098
408.8041	10.92741
408.9565	10.9242
409.1089	10.94567
409.2613	10.95113
409.4137	10.94792
409.5661	10.95727
409.7185	10.82474
409.8709	10.49062
410.0233	10.38696
410.1757	10.43674
410.3281	10.47544
410.4805	10.46434
410.6329	10.46574
410.7853	10.46632
410.9377	10.45866
411.0901	10.44607
411.2425	10.41146
411.3949	10.36767
411.5473	10.34617
411.6997	10.29548
411.8521	10.25764
412.0045	10.25336
412.1569	10.26
412.3093	10.25993
412.4617	10.25884
412.6141	10.26419
412.7665	10.2701
412.9189	10.27124
413.0713	10.27021
413.2237	10.30058
413.3761	10.32877
413.5285	10.32804
413.6809	10.33058
413.8333	10.32838
413.9857	10.33232
414.1381	10.33262
414.2905	10.3304
414.4429	10.32789
414.5953	10.32582
414.7477	10.32628
414.9001	10.34978
415.0525	10.41677
415.2049	10.45828
415.3573	10.46132
415.5097	10.48124
415.6621	10.49053
415.8145	10.53519
415.9669	10.58713
416.1193	10.59618
416.2717	10.60798
416.4241	10.60485
416.5765	10.60583
416.7289	10.6029
416.8813	10.59618
417.0337	10.60116
417.1861	10.59939
417.3385	10.60572
417.4909	10.60199
417.6432	10.59618
417.7956	10.60667
417.9480	10.60206
418.1004	10.6062
418.2528	10.60151
418.4052	10.59618
418.5576	10.60168
418.7100	10.59886
418.8624	10.6046
419.0148	10.56894
419.1672	10.34248
419.3196	10.22127
419.4720	10.20599
419.6244	10.20771
419.7768	10.20001
419.9292	10.15473
420.0816	10.12983
420.2340	10.12726
420.3864	10.13289
420.5388	10.12856
420.6912	10.1265
420.8436	10.12728
420.9960	10.12357
421.1484	10.13834
421.3008	10.12687
421.4532	10.12644
421.6056	10.13326
421.7580	10.12484
421.9104	10.14232
