HOLE:	U1508C
EXPEDITION:	371
TOP:	583.3574
BOTTOM:	690.3421
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
606.5222	137.6566	379.2164	385.1449	2.2142	0.8038	0.7914
606.6746	138.1251	378.111	387.8036	2.2067	0.8061	0.7860
606.8270	138.4468	384.5254	387.9389	2.2016	0.7927	0.7857
606.9794	138.7298	389.3842	369.2466	2.1971	0.7828	0.8255
607.1318	137.8583	370.3834	379.0675	2.2110	0.8229	0.8041
607.2842	138.0867	373.8648	383.1369	2.2073	0.8153	0.7955
607.4366	138.1799	367.9777	382.2723	2.2058	0.8283	0.7973
607.5890	138.1476	372.0875	380.6159	2.2063	0.8192	0.8008
607.7414	137.3925	375.5719	379.8486	2.2185	0.8116	0.8024
607.8938	136.4498	367.6342	374.7451	2.2338	0.8291	0.8134
608.0462	134.9217	356.0708	366.2101	2.2591	0.8560	0.8323
608.1986	133.9402	364.2073	363.4647	2.2756	0.8369	0.8386
608.3510	134.0776	366.19	363.1761	2.2733	0.8324	0.8393
608.5034	131.2664	352.4689	340.4555	2.3220	0.8648	0.8953
608.6558	130.9529	318.3739	325.5181	2.3276	0.9574	0.9364
608.8082	129.0797	318.1632	328.6706	2.3613	0.9580	0.9274
608.9606	128.0264	321.3034	329.4614	2.3808	0.9486	0.9251
609.1130	129.7469	316.4197	328.5055	2.3492	0.9633	0.9278
609.2654	130.6608	317.8127	328.7994	2.3328	0.9591	0.9270
609.4178	131.8465	316.4964	328.7046	2.3118	0.9630	0.9273
609.5702	133.7881	315.8019	327.9172	2.2782	0.9652	0.9295
609.7226	134.2139	316.5028	327.0966	2.2710	0.9630	0.9318
609.8750	133.2771	315.3321	326.7507	2.2870	0.9666	0.9328
610.0274	133.0007	309.0809	323.7961	2.2917	0.9861	0.9413
610.1798	132.4716	304.4204	321.9772	2.3009	1.0012	0.9467
610.3322	133.4586	318.1536	337.5613	2.2839	0.9580	0.9029
610.4846	134.8743	341.0222	352.6405	2.2599	0.8938	0.8643
610.6370	135.0365	349.2969	352.9147	2.2572	0.8726	0.8637
610.7894	135.6159	346.4757	352.3404	2.2475	0.8797	0.8651
610.9418	135.9327	345.9638	351.1142	2.2423	0.8810	0.8681
611.0942	135.3178	346.2747	349.4565	2.2525	0.8802	0.8722
611.2466	133.0571	346.0173	349.1184	2.2907	0.8809	0.8731
611.3990	131.5344	353.88	357.4097	2.3173	0.8613	0.8528
611.5514	131.8365	357.6206	355.4028	2.3120	0.8523	0.8576
611.7038	130.4102	349.5551	341.8417	2.3372	0.8720	0.8916
611.8562	127.1317	351.1067	347.7975	2.3975	0.8681	0.8764
612.0086	125.2127	350.3552	344.6709	2.4343	0.8700	0.8843
612.1610	124.1312	348.1945	342.5393	2.4555	0.8754	0.8898
612.3134	123.1344	345.6313	336.4777	2.4753	0.8819	0.9059
612.4658	121.943	342.8979	332.3322	2.4995	0.8889	0.9172
612.6182	120.9226	341.123	334.1557	2.5206	0.8935	0.9121
612.7706	121.4988	341.6886	335.6801	2.5087	0.8920	0.9080
612.9230	120.2572	338.7969	335.5671	2.5346	0.8997	0.9083
613.0754	120.5876	322.6083	328.037	2.5276	0.9448	0.9292
613.2278	121.1286	307.3701	318.2604	2.5163	0.9916	0.9577
613.3802	122.173	316.9557	314.1625	2.4948	0.9616	0.9702
613.5326	122.2834	313.3495	315.5863	2.4926	0.9727	0.9658
613.6850	121.5921	316.4282	320.4736	2.5067	0.9633	0.9511
613.8374	122.8999	320.7816	328.498	2.4801	0.9502	0.9279
613.9898	122.7307	330.9346	329.6888	2.4835	0.9210	0.9245
